Country,Timestamp,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Solar,Waste,Wind Offshore,Wind Onshore
DK,,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated
DK,2021-01-01,20892.0,12087.0,20382.0,1103.0,276.0,4802.0,2438.0,3046.0
DK,2021-01-02,19886.0,13603.0,21256.0,1160.0,510.0,4231.0,2297.0,3007.0
DK,2021-01-03,16914.0,6825.0,13594.0,1031.0,417.0,2716.0,20695.0,24555.0
DK,2021-01-04,18216.0,9876.0,18762.0,1147.0,352.0,3523.0,29169.0,33892.0
DK,2021-01-05,19365.0,11907.0,20645.0,1014.0,303.0,4365.0,32622.0,36270.0
DK,2021-01-06,20807.0,13315.0,24989.0,1030.0,107.0,3939.0,28571.0,40366.0
DK,2021-01-07,22825.0,14432.0,32310.0,1178.0,135.0,4509.0,13274.0,18070.0
DK,2021-01-08,26149.0,15272.0,32414.0,1211.0,189.0,4382.0,9236.0,13025.0
DK,2021-01-09,13897.0,15854.0,32048.0,1217.0,460.0,4647.0,3234.0,7073.0
DK,2021-01-10,7691.0,12580.0,24117.0,1180.0,389.0,4046.0,18938.0,28565.0
DK,2021-01-11,6909.0,9001.0,19622.0,1058.0,171.0,4098.0,33145.0,52878.0
DK,2021-01-12,11783.0,11742.0,23601.0,1160.0,921.0,4279.0,27122.0,35556.0
DK,2021-01-13,17625.0,8641.0,19725.0,1056.0,294.0,3898.0,29480.0,48421.0
DK,2021-01-14,21013.0,13461.0,29907.0,1241.0,317.0,4489.0,14062.0,20297.0
DK,2021-01-15,22882.0,17122.0,35141.0,1353.0,413.0,4861.0,7541.0,7916.0
DK,2021-01-16,21134.0,15226.0,30698.0,1343.0,758.0,4678.0,4946.0,5758.0
DK,2021-01-17,21213.0,14281.0,28815.0,1112.0,677.0,4571.0,14230.0,10204.0
DK,2021-01-18,22091.0,14798.0,25502.0,1134.0,231.0,4420.0,15863.0,17788.0
DK,2021-01-19,20962.0,12317.0,22063.0,968.0,218.0,4273.0,13281.0,16478.0
DK,2021-01-20,16905.0,7427.0,15483.0,931.0,108.0,3525.0,33467.0,52130.0
DK,2021-01-21,16767.0,5324.0,13885.0,845.0,925.0,3669.0,33731.0,66171.0
DK,2021-01-22,16924.0,4510.0,14776.0,818.0,790.0,3546.0,33256.0,58989.0
DK,2021-01-23,14191.0,10089.0,24571.0,934.0,672.0,4451.0,14326.0,20656.0
DK,2021-01-24,15087.0,11612.0,24343.0,1108.0,621.0,4528.0,2229.0,2998.0
DK,2021-01-25,16246.0,13211.0,29298.0,1138.0,868.0,4604.0,3027.0,4813.0
DK,2021-01-26,15914.0,12761.0,29039.0,1198.0,1421.0,4519.0,9057.0,8684.0
DK,2021-01-27,22263.0,14356.0,28323.0,1148.0,311.0,4197.0,9364.0,11466.0
DK,2021-01-28,21944.0,13638.0,28093.0,1207.0,1288.0,4498.0,8935.0,10261.0
DK,2021-01-29,21128.0,13870.0,25263.0,1139.0,616.0,4355.0,15293.0,15390.0
DK,2021-01-30,21915.0,14144.0,26238.0,1158.0,1448.0,4495.0,7819.0,11025.0
DK,2021-01-31,21730.0,12835.0,23762.0,1149.0,1711.0,4214.0,12023.0,17941.0
DK,2021-02-01,22516.0,13996.0,29053.0,1087.0,1779.0,4103.0,4931.0,8073.0
DK,2021-02-02,21072.0,14926.0,28083.0,1336.0,1383.0,4164.0,3903.0,4893.0
DK,2021-02-03,20043.0,13243.0,26775.0,1144.0,292.0,4003.0,31353.0,55417.0
DK,2021-02-04,20691.0,14865.0,29909.0,1369.0,737.0,4008.0,24957.0,40656.0
DK,2021-02-05,20097.0,14651.0,29617.0,1248.0,1037.0,4182.0,27862.0,46333.0
DK,2021-02-06,18852.0,10059.0,23924.0,1176.0,2288.0,3734.0,35594.0,52224.0
DK,2021-02-07,19128.0,8066.0,21904.0,1153.0,881.0,3287.0,29228.0,61953.0
DK,2021-02-08,20280.0,11458.0,24037.0,1163.0,917.0,3907.0,32223.0,60437.0
DK,2021-02-09,20962.0,14269.0,29194.0,1101.0,1361.0,4111.0,35785.0,56962.0
