Country,Timestamp,Hydro Water Reservoir,Nuclear,Other,Wind Onshore
SE,2020-04-02,208831.0,139410.0,19357.0,118919.0
SE,2020-04-03,224231.0,136180.0,17472.0,137228.0
SE,2020-04-04,245447.0,140660.0,16410.0,93656.0
SE,2020-04-05,224889.0,137377.0,15770.0,50522.0
SE,2020-04-06,233803.0,137976.0,17110.0,79920.0
SE,2020-04-07,224389.0,128073.0,17227.0,101536.0
SE,2020-04-08,199389.0,121925.0,16119.0,119276.0
SE,2020-04-09,208346.0,122059.0,17209.0,106883.0
SE,2020-04-10,225080.0,122061.0,17532.0,67139.0
SE,2020-04-11,232772.0,122197.0,16828.0,50443.0
SE,2020-04-12,189514.0,113817.0,16342.0,137884.0
SE,2020-04-13,143079.0,113543.0,16470.0,171100.0
SE,2020-04-14,204724.0,133788.0,17349.0,118297.0
SE,2020-04-15,189305.0,139903.0,15557.0,121322.0
SE,2020-04-16,177849.0,132288.0,13993.0,128827.0
SE,2020-04-17,185152.0,133405.0,13698.0,124855.0
SE,2020-04-18,206972.0,129504.0,14256.0,85006.0
SE,2020-04-19,223937.0,126417.0,14112.0,50148.0
SE,2020-04-20,219258.0,130967.0,14088.0,50255.0
SE,2020-04-21,222727.0,132052.0,13851.0,29730.0
SE,2020-04-22,219208.0,138262.0,15114.0,26903.0
SE,2020-04-23,223741.0,139334.0,14086.0,44058.0
SE,2020-04-24,205581.0,135146.0,12117.0,63395.0
SE,2020-04-25,183398.0,126825.0,11349.0,82387.0
SE,2020-04-26,211195.0,121768.0,13636.0,39803.0
SE,2020-04-27,242541.0,137255.0,14071.0,24697.0
SE,2020-04-28,244491.0,139180.0,13652.0,30831.0
SE,2020-04-29,244746.0,139211.0,15223.0,28068.0
SE,2020-04-30,226443.0,138091.0,13090.0,60278.0
SE,2020-05-01,181392.0,127379.0,12908.0,50174.0
SE,2020-05-02,210621.0,122755.0,11773.0,25900.0
SE,2020-05-03,211756.0,109820.0,12667.0,35436.0
SE,2020-05-04,223289.0,111533.0,14549.0,55173.0
SE,2020-05-05,212064.0,112678.0,13938.0,58812.0
SE,2020-05-06,190986.0,112564.0,13372.0,93148.0
SE,2020-05-07,217054.0,112456.0,13897.0,68087.0
SE,2020-05-08,231377.0,107895.0,13345.0,51438.0
SE,2020-05-09,204997.0,107059.0,12372.0,41405.0
SE,2020-05-10,208502.0,105928.0,13106.0,63352.0
SE,2020-05-11,207595.0,111407.0,17651.0,87585.0
SE,2020-05-12,226953.0,112279.0,15749.0,57807.0
SE,2020-05-13,229373.0,112476.0,19179.0,55421.0
SE,2020-05-14,230168.0,112411.0,16754.0,43957.0
SE,2020-05-15,215938.0,112326.0,13673.0,64536.0
SE,2020-05-16,182121.0,112350.0,13468.0,74266.0
SE,2020-05-17,163907.0,110258.0,13356.0,66384.0
SE,2020-05-18,225717.0,112138.0,13551.0,40183.0
SE,2020-05-19,217315.0,112121.0,13926.0,38731.0
SE,2020-05-20,221414.0,112041.0,20415.0,20255.0
SE,2020-05-21,205637.0,111834.0,16008.0,13107.0
SE,2020-05-22,172721.0,111602.0,15781.0,65810.0
SE,2020-05-23,139617.0,100188.0,14424.0,98307.0
SE,2020-05-24,138855.0,101103.0,13992.0,51449.0
SE,2020-05-25,212810.0,110875.0,14736.0,9867.0
SE,2020-05-26,208266.0,111777.0,15434.0,32068.0
SE,2020-05-27,185934.0,111542.0,14144.0,62148.0
SE,2020-05-28,186088.0,111593.0,12686.0,64029.0
SE,2020-05-29,202668.0,111187.0,13910.0,52985.0
SE,2020-05-30,187641.0,93802.0,14105.0,37144.0
SE,2020-05-31,158210.0,93214.0,15338.0,34628.0
SE,2020-06-01,193707.0,96837.0,14984.0,13552.0
SE,2020-06-02,200834.0,108573.0,12719.0,24091.0
SE,2020-06-03,203390.0,98394.0,12381.0,24556.0
SE,2020-06-04,210107.0,85021.0,12906.0,53873.0
SE,2020-06-05,192915.0,86078.0,13332.0,60709.0
SE,2020-06-06,155396.0,86591.0,13607.0,69680.0
SE,2020-06-07,142040.0,87022.0,11614.0,94598.0
SE,2020-06-08,201843.0,90061.0,13557.0,26737.0
SE,2020-06-09,209647.0,104882.0,13320.0,14919.0
SE,2020-06-10,205641.0,109730.0,13958.0,19691.0
SE,2020-06-11,181645.0,110302.0,13843.0,59027.0
SE,2020-06-12,164832.0,109775.0,13648.0,66009.0
SE,2020-06-13,145883.0,102100.0,14037.0,63789.0
SE,2020-06-14,145966.0,102158.0,13215.0,50789.0
SE,2020-06-15,193443.0,107393.0,13695.0,22645.0
SE,2020-06-16,193327.0,104924.0,11578.0,32681.0
