,Forecasted Load,Actual Load
2019-01-01,235270.0,241441.0
2019-01-02,294937.0,297383.0
2019-01-03,313112.0,302651.0
2019-01-04,291093.0,280559.0
2019-01-05,269116.0,264202.0
2019-01-06,269754.0,265650.0
2019-01-07,286380.0,293784.0
2019-01-08,290088.0,297308.0
2019-01-09,304232.0,308873.0
2019-01-10,318372.0,316132.0
2019-01-11,299924.0,296637.0
2019-01-12,282769.0,285316.0
2019-01-13,284022.0,280826.0
2019-01-14,315755.0,321038.0
2019-01-15,323270.0,311153.0
2019-01-16,323202.0,319239.0
2019-01-17,313912.0,329353.0
2019-01-18,321471.0,336911.0
2019-01-19,303583.0,303767.0
2019-01-20,312138.0,307152.0
2019-01-21,339407.0,340033.0
2019-01-22,328709.0,320373.0
2019-01-23,329787.0,324324.0
2019-01-24,338423.0,339562.0
2019-01-25,331189.0,325508.0
2019-01-26,304038.0,303648.0
2019-01-27,299516.0,312239.0
2019-01-28,320489.0,326885.0
2019-01-29,326735.0,329588.0
2019-01-30,345160.0,352255.0
2019-01-31,344287.0,340427.0
2019-02-01,328490.0,318745.0
2019-02-02,289859.0,292461.0
2019-02-03,293632.0,310374.0
2019-02-04,348077.0,337409.0
2019-02-05,326619.0,315529.0
2019-02-06,336148.0,334727.0
2019-02-07,313043.0,304638.0
2019-02-08,299428.0,290703.0
2019-02-09,264024.0,264364.0
2019-02-10,260836.0,260030.0
2019-02-11,295070.0,296021.0
2019-02-12,304985.0,302654.0
2019-02-13,296887.0,281511.0
2019-02-14,287399.0,282287.0
2019-02-15,266812.0,274345.0
2019-02-16,249535.0,252420.0
2019-02-17,256797.0,258499.0
2019-02-18,277082.0,279927.0
2019-02-19,278813.0,273606.0
2019-02-20,296609.0,290944.0
2019-02-21,306716.0,305845.0
2019-02-22,308659.0,309485.0
2019-02-23,275420.0,264228.0
2019-02-24,252528.0,248193.0
2019-02-25,279223.0,269452.0
2019-02-26,271386.0,261507.0
2019-02-27,266906.0,263342.0
2019-02-28,270078.0,270314.0
2019-03-01,281688.0,288975.0
2019-03-02,264303.0,260267.0
2019-03-03,262350.0,256247.0
2019-03-04,284925.0,288180.0
2019-03-05,296211.0,306726.0
2019-03-06,316057.0,313144.0
2019-03-07,293665.0,284923.0
2019-03-08,279229.0,279248.0
2019-03-09,264273.0,268349.0
2019-03-10,270897.0,271884.0
2019-03-11,307842.0,304921.0
2019-03-12,315457.0,304871.0
2019-03-13,294324.0,296672.0
2019-03-14,281371.0,285156.0
2019-03-15,283202.0,282069.0
2019-03-16,257418.0,255873.0
2019-03-17,255489.0,252692.0
2019-03-18,283361.0,279959.0
2019-03-19,285612.0,277846.0
2019-03-20,277143.0,276688.0
2019-03-21,262125.0,261007.0
2019-03-22,256321.0,256923.0
2019-03-23,228435.0,224752.0
2019-03-24,242783.0,232417.0
2019-03-25,273307.0,260458.0
2019-03-26,270463.0,264838.0
2019-03-27,259232.0,257178.0
2019-03-28,243523.0,244704.0
2019-03-29,235470.0,230499.0
2019-03-30,221960.0,217354.0
2019-03-31,224528.0,214760.0
2019-04-01,265490.0,260963.0
2019-04-02,257885.0,256005.0
2019-04-03,255551.0,254049.0
2019-04-04,243054.0,240009.0
2019-04-05,240838.0,238200.0
2019-04-06,215304.0,214450.0
2019-04-07,212993.0,213881.0
2019-04-08,251128.0,259328.0
2019-04-09,269895.0,273171.0
2019-04-10,283568.0,282464.0
2019-04-11,281272.0,277053.0
2019-04-12,268471.0,266890.0
2019-04-13,247175.0,237760.0
2019-04-14,240611.0,233971.0
2019-04-15,256384.0,255771.0
2019-04-16,253388.0,250524.0
2019-04-17,246004.0,243453.0
2019-04-18,240532.0,223111.0
2019-04-19,209985.0,195025.0
2019-04-20,190831.0,183143.0
2019-04-21,188225.0,182131.0
2019-04-22,193511.0,185531.0
2019-04-23,210253.0,209471.0
2019-04-24,211311.0,208160.0
2019-04-25,210384.0,210376.0
2019-04-26,200366.0,207890.0
2019-04-27,182266.0,188092.0
2019-04-28,186453.0,189422.0
2019-04-29,225666.0,217637.0
2019-04-30,228184.0,212363.0
2019-05-01,196938.0,192981.0
2019-05-02,226424.0,229940.0
2019-05-03,242754.0,235320.0
2019-05-04,215409.0,217131.0
2019-05-05,212618.0,209135.0
2019-05-06,226754.0,234387.0
2019-05-07,230780.0,241617.0
2019-05-08,235168.0,237063.0
2019-05-09,234605.0,231385.0
2019-05-10,223887.0,218555.0
2019-05-11,195556.0,193056.0
2019-05-12,196167.0,199959.0
2019-05-13,224310.0,224912.0
2019-05-14,226899.0,221669.0
2019-05-15,221716.0,218448.0
2019-05-16,216622.0,212188.0
2019-05-17,209509.0,202765.0
2019-05-18,188858.0,181163.0
2019-05-19,177893.0,179340.0
2019-05-20,201005.0,205025.0
2019-05-21,206992.0,199551.0
2019-05-22,204095.0,201789.0
2019-05-23,203218.0,207942.0
2019-05-24,199998.0,205944.0
2019-05-25,180000.0,186443.0
2019-05-26,183789.0,190362.0
2019-05-27,213186.0,223151.0
2019-05-28,216748.0,216853.0
2019-05-29,222380.0,218449.0
2019-05-30,201410.0,202955.0
2019-05-31,202967.0,200759.0
2019-06-01,191820.0,188110.0
2019-06-02,187565.0,181182.0
2019-06-03,209274.0,212639.0
2019-06-04,211128.0,202451.0
2019-06-05,212293.0,196611.0
2019-06-06,177225.0,173933.0
2019-06-07,192267.0,183775.0
2019-06-08,172272.0,167958.0
2019-06-09,169347.0,172287.0
2019-06-10,192262.0,201351.0
2019-06-11,198612.0,204649.0
2019-06-12,203120.0,214781.0
2019-06-13,204290.0,213262.0
2019-06-14,201321.0,198644.0
2019-06-15,179922.0,176937.0
2019-06-16,177118.0,176820.0
2019-06-17,202990.0,202956.0
2019-06-18,204644.0,202618.0
2019-06-19,203754.0,203337.0
2019-06-20,199191.0,196414.0
2019-06-21,162057.0,164721.0
