,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Solar,Waste,Wind Offshore,Wind Onshore
2020-01-01,16249.0,7020.0,15497.0,544.0,414.0,4421.0,24377.0,52671.0
2020-01-02,16685.0,8074.0,15700.0,596.0,113.0,4168.0,28827.0,68064.0
2020-01-03,14393.0,6611.0,14697.0,600.0,278.0,3927.0,26712.0,52227.0
2020-01-04,14524.0,5227.0,14361.0,546.0,873.0,3716.0,29283.0,62949.0
2020-01-05,18880.0,8705.0,17266.0,641.0,279.0,4081.0,19692.0,35192.0
2020-01-06,15747.0,8509.0,13338.0,626.0,96.0,4119.0,24856.0,40029.0
2020-01-07,17393.0,9487.0,19441.0,639.0,354.0,4178.0,25778.0,45773.0
2020-01-08,13699.0,7567.0,16166.0,712.0,322.0,4210.0,27800.0,59721.0
2020-01-09,16649.0,9485.0,19359.0,820.0,53.0,4484.0,19746.0,31516.0
2020-01-10,18573.0,8995.0,21069.0,856.0,146.0,4490.0,18458.0,27161.0
2020-01-11,16685.0,6616.0,14319.0,700.0,222.0,3849.0,26803.0,61460.0
2020-01-12,14583.0,6014.0,15047.0,692.0,195.0,4101.0,19369.0,39435.0
2020-01-13,11883.0,8788.0,20735.0,835.0,533.0,3890.0,23319.0,33076.0
2020-01-14,10027.0,6023.0,14548.0,769.0,426.0,3324.0,30497.0,64216.0
2020-01-15,10096.0,5134.0,14060.0,614.0,193.0,3479.0,26307.0,59745.0
2020-01-16,14221.0,6296.0,15015.0,640.0,588.0,3276.0,28899.0,52119.0
2020-01-17,16745.0,7707.0,17953.0,700.0,806.0,3441.0,27236.0,34866.0
2020-01-18,15255.0,6463.0,13914.0,683.0,412.0,3814.0,31890.0,49332.0
2020-01-19,18780.0,8477.0,15721.0,669.0,1363.0,3234.0,23790.0,35867.0
2020-01-20,17563.0,8698.0,14163.0,700.0,391.0,3203.0,24944.0,44285.0
2020-01-21,15581.0,6664.0,12411.0,744.0,301.0,3222.0,32483.0,63366.0
2020-01-22,16603.0,8577.0,18538.0,834.0,1295.0,3777.0,20041.0,35685.0
2020-01-23,17745.0,8602.0,14740.0,900.0,281.0,3887.0,20829.0,37224.0
2020-01-24,16192.0,7575.0,13622.0,883.0,268.0,3794.0,24217.0,40621.0
2020-01-25,14735.0,7773.0,12850.0,739.0,557.0,3723.0,18085.0,27868.0
2020-01-26,14503.0,6902.0,12370.0,764.0,338.0,3613.0,24551.0,33982.0
2020-01-27,15173.0,7062.0,15794.0,769.0,302.0,3507.0,25769.0,34862.0
2020-01-28,14519.0,8164.0,13811.0,824.0,327.0,3514.0,25702.0,32022.0
2020-01-29,15534.0,5470.0,14003.0,631.0,979.0,3659.0,31703.0,47127.0
2020-01-30,15346.0,5137.0,15813.0,726.0,364.0,3777.0,30292.0,45553.0
2020-01-31,12996.0,5622.0,17577.0,935.0,449.0,4031.0,30678.0,58286.0
2020-02-01,8477.0,3905.0,12232.0,637.0,467.0,3297.0,27366.0,78455.0
2020-02-02,11053.0,5668.0,15208.0,687.0,1288.0,3305.0,16412.0,44870.0
2020-02-03,14942.0,6069.0,18628.0,737.0,528.0,3504.0,16918.0,20977.0
2020-02-04,15664.0,6288.0,19898.0,811.0,1044.0,3231.0,27525.0,38633.0
2020-02-05,14852.0,6461.0,18385.0,803.0,1846.0,3140.0,21056.0,40808.0
2020-02-06,15068.0,7384.0,12539.0,762.0,904.0,3425.0,25028.0,44366.0
2020-02-07,16317.0,10642.0,17137.0,881.0,375.0,4170.0,10036.0,11184.0
2020-02-08,8222.0,6441.0,16161.0,792.0,1157.0,4289.0,26494.0,36643.0
2020-02-09,6203.0,3351.0,13512.0,609.0,199.0,2996.0,30969.0,77021.0
2020-02-10,7485.0,3573.0,17871.0,613.0,928.0,3128.0,29669.0,73188.0
2020-02-11,11737.0,4337.0,15839.0,614.0,825.0,3069.0,34072.0,65123.0
2020-02-12,11583.0,4101.0,19257.0,701.0,712.0,3037.0,31225.0,59790.0
2020-02-13,15043.0,8543.0,27192.0,783.0,1613.0,3686.0,20440.0,21145.0
2020-02-14,13362.0,11707.0,27800.0,790.0,1240.0,4027.0,9189.0,16133.0
2020-02-15,12092.0,3780.0,15783.0,541.0,349.0,3528.0,32036.0,52966.0
2020-02-16,6200.0,2880.0,16303.0,585.0,320.0,2731.0,33604.0,80301.0
2020-02-17,8545.0,3697.0,16575.0,610.0,907.0,2613.0,28151.0,70884.0
2020-02-18,10984.0,4405.0,14927.0,839.0,1535.0,2686.0,29870.0,53321.0
2020-02-19,14013.0,7719.0,20379.0,969.0,1793.0,3187.0,23407.0,29757.0
2020-02-20,10140.0,5570.0,15416.0,916.0,392.0,2907.0,30777.0,53689.0
2020-02-21,10344.0,3325.0,14178.0,688.0,1539.0,2573.0,30790.0,55657.0
2020-02-22,7877.0,2327.0,13348.0,485.0,935.0,2385.0,25913.0,81859.0
2020-02-23,11275.0,2334.0,14139.0,460.0,1177.0,2255.0,26912.0,64195.0
2020-02-24,14653.0,7718.0,20742.0,707.0,1050.0,3132.0,20606.0,28883.0
2020-02-25,16239.0,4758.0,16050.0,622.0,1142.0,2804.0,28954.0,47846.0
2020-02-26,20045.0,12084.0,24453.0,945.0,994.0,4209.0,11664.0,20245.0
2020-02-27,20201.0,13485.0,27554.0,1020.0,1934.0,4342.0,6788.0,8057.0
2020-02-28,17968.0,9068.0,19848.0,659.0,2676.0,3978.0,23803.0,32780.0
