,Forecasted Load,Actual Load
2017-01-01,28223.0,28013.0
2017-01-02,30143.0,32435.0
2017-01-03,30859.0,33902.0
2017-01-04,32693.0,35398.0
2017-01-05,35451.0,38122.0
2017-01-06,33663.0,34776.0
2017-01-07,31025.0,31418.0
2017-01-08,28801.0,29261.0
2017-01-09,29433.0,29710.0
2017-01-10,29688.0,28981.0
2017-01-11,29453.0,29662.0
2017-01-12,31140.0,30471.0
2017-01-13,30876.0,31069.0
2017-01-14,30652.0,29778.0
2017-01-15,31242.0,31255.0
2017-01-16,34252.0,32539.0
2017-01-17,33551.0,32413.0
2017-01-18,32062.0,31407.0
2017-01-19,30630.0,31208.0
2017-01-20,31337.0,31579.0
2017-01-21,30437.0,29943.0
2017-01-22,29917.0,28771.0
2017-01-23,31215.0,31485.0
2017-01-24,32424.0,35530.0
2017-01-25,31738.0,31353.0
2017-01-26,30417.0,29088.0
2017-01-27,29712.0,28825.0
2017-01-28,28880.0,28321.0
2017-01-29,28736.0,27770.0
2017-01-30,30589.0,30664.0
2017-01-31,31179.0,31737.0
2017-02-01,31441.0,28757.0
2017-02-02,31461.0,30601.0
2017-02-03,30906.0,31476.0
2017-02-04,29330.0,28898.0
2017-02-05,28655.0,28865.0
2017-02-06,31145.0,30125.0
2017-02-07,33607.0,31828.0
2017-02-08,34853.0,33791.0
2017-02-09,35140.0,32978.0
2017-02-10,35122.0,33055.0
2017-02-11,32794.0,32175.0
2017-02-12,31589.0,29901.0
2017-02-13,30365.0,28883.0
2017-02-14,29763.0,25832.0
2017-02-15,29869.0,28489.0
2017-02-16,30644.0,28916.0
2017-02-17,30004.0,27929.0
2017-02-18,29105.0,27827.0
2017-02-19,29651.0,28578.0
2017-02-20,31770.0,31479.0
2017-02-21,32591.0,32224.0
2017-02-22,33053.0,33049.0
2017-02-23,32877.0,33487.0
2017-02-24,33548.0,32830.0
2017-02-25,30795.0,30299.0
2017-02-26,30339.0,30799.0
2017-02-27,32864.0,33279.0
2017-02-28,32488.0,30938.0
2017-03-01,31415.0,29750.0
2017-03-02,31255.0,28378.0
2017-03-03,30981.0,30281.0
2017-03-04,29771.0,28820.0
2017-03-05,29619.0,29681.0
2017-03-06,31591.0,32598.0
2017-03-07,31864.0,31974.0
2017-03-08,32307.0,32999.0
2017-03-09,31153.0,31440.0
2017-03-10,29939.0,30178.0
2017-03-11,28034.0,27832.0
2017-03-12,27364.0,27032.0
2017-03-13,28709.0,29341.0
2017-03-14,28334.0,28723.0
2017-03-15,28300.0,27681.0
2017-03-16,28481.0,27243.0
2017-03-17,28083.0,27541.0
2017-03-18,27112.0,27217.0
2017-03-19,27823.0,27385.0
2017-03-20,30642.0,28604.0
2017-03-21,29823.0,28826.0
2017-03-22,28763.0,27416.0
2017-03-23,28577.0,27624.0
2017-03-24,28898.0,28030.0
2017-03-25,26526.0,24559.0
2017-03-26,24074.0,24678.0
2017-03-27,27845.0,28502.0
2017-03-28,28775.0,28704.0
2017-03-29,30536.0,28459.0
2017-03-30,30640.0,29275.0
2017-03-31,30334.0,29425.0
2017-04-01,28123.0,27417.0
2017-04-02,27589.0,27461.0
2017-04-03,28509.0,27696.0
2017-04-04,27032.0,26541.0
2017-04-05,26777.0,25474.0
2017-04-06,27584.0,27432.0
2017-04-07,27856.0,27978.0
2017-04-08,27290.0,26665.0
2017-04-09,0.0,0.0
2017-04-10,27982.0,28317.0
2017-04-11,28098.0,27938.0
2017-04-12,28820.0,28327.0
2017-04-13,30013.0,28433.0
2017-04-14,29020.0,28177.0
2017-04-15,28767.0,26410.0
2017-04-16,27902.0,26120.0
2017-04-17,28214.0,25980.0
2017-04-18,28302.0,27717.0
2017-04-19,28079.0,26705.0
2017-04-20,27709.0,25696.0
2017-04-21,27448.0,25783.0
2017-04-22,26767.0,25205.0
2017-04-23,26603.0,25666.0
2017-04-24,27992.0,26727.0
2017-04-25,27764.0,26928.0
2017-04-26,27761.0,26749.0
2017-04-27,27754.0,26082.0
2017-04-28,27338.0,25697.0
2017-04-29,26022.0,24940.0
2017-04-30,26597.0,26275.0
2017-05-01,25238.0,24850.0
2017-05-02,26090.0,24495.0
2017-05-03,25571.0,24097.0
2017-05-04,25263.0,22713.0
2017-05-05,22727.0,21879.0
2017-05-06,23232.0,21444.0
2017-05-07,24786.0,21951.0
2017-05-08,27121.0,24548.0
2017-05-09,27253.0,24505.0
2017-05-10,26745.0,24026.0
2017-05-11,26398.0,23899.0
2017-05-12,25837.0,23544.0
2017-05-13,24946.0,22194.0
2017-05-14,23954.0,22419.0
2017-05-15,24784.0,23640.0
2017-05-16,24383.0,21834.0
2017-05-17,23308.0,22173.0
2017-05-18,21806.0,21967.0
2017-05-19,21368.0,21135.0
2017-05-20,20425.0,20382.0
2017-05-21,20133.0,20827.0
2017-05-22,20803.0,23148.0
2017-05-23,20728.0,23180.0
2017-05-24,21263.0,23918.0
2017-05-25,20543.0,22317.0
2017-05-26,21267.0,23951.0
2017-05-27,21853.0,23288.0
2017-05-28,22686.0,22785.0
2017-05-29,23646.0,24812.0
2017-05-30,23489.0,24266.0
2017-05-31,23586.0,25379.0
2017-06-01,23852.0,24911.0
2017-06-02,23970.0,24429.0
2017-06-03,22522.0,22951.0
2017-06-04,22067.0,21652.0
2017-06-05,23305.0,22070.0
2017-06-06,22066.0,21415.0
2017-06-07,21703.0,22131.0
2017-06-08,21244.0,22747.0
2017-06-09,20958.0,20932.0
2017-06-10,20507.0,20073.0
2017-06-11,20640.0,20128.0
2017-06-12,22310.0,22274.0
2017-06-13,22311.0,21519.0
2017-06-14,22103.0,21991.0
2017-06-15,22023.0,21709.0
2017-06-16,21438.0,21323.0
2017-06-17,20392.0,21105.0
2017-06-18,20635.0,20990.0
2017-06-19,22186.0,22888.0
2017-06-20,22353.0,22209.0
2017-06-21,22756.0,22411.0
2017-06-22,23380.0,21605.0
2017-06-23,21695.0,21208.0
2017-06-24,21374.0,20855.0
2017-06-25,21262.0,21199.0
2017-06-26,22447.0,22336.0
2017-06-27,22559.0,21635.0
2017-06-28,22600.0,22511.0
2017-06-29,22440.0,22407.0
2017-06-30,21731.0,21863.0
2017-07-01,20545.0,20180.0
2017-07-02,20165.0,20845.0
2017-07-03,21526.0,21882.0
2017-07-04,22242.0,21828.0
2017-07-05,23263.0,22458.0
2017-07-06,23443.0,22974.0
2017-07-07,22627.0,21458.0
2017-07-08,21118.0,20503.0
2017-07-09,20868.0,21357.0
2017-07-10,21815.0,21925.0
2017-07-11,21869.0,19990.0
2017-07-12,21808.0,19847.0
2017-07-13,21755.0,19734.0
2017-07-14,21809.0,20763.0
2017-07-15,20955.0,20065.0
2017-07-16,20756.0,20280.0
2017-07-17,21722.0,21892.0
2017-07-18,21809.0,21780.0
2017-07-19,22059.0,21644.0
2017-07-20,21917.0,21386.0
2017-07-21,21743.0,21992.0
2017-07-22,20660.0,20929.0
2017-07-23,20576.0,20930.0
2017-07-24,21473.0,21126.0
2017-07-25,21285.0,22174.0
2017-07-26,21195.0,20113.0
2017-07-27,21241.0,20331.0
2017-07-28,21122.0,20152.0
2017-07-29,20097.0,19768.0
2017-07-30,19997.0,19546.0
2017-07-31,21054.0,20285.0
2017-08-01,21052.0,21361.0
2017-08-02,21075.0,20949.0
2017-08-03,21123.0,21193.0
2017-08-04,21206.0,20657.0
2017-08-05,20418.0,19483.0
2017-08-06,20301.0,20579.0
2017-08-07,21479.0,21544.0
2017-08-08,21376.0,22640.0
2017-08-09,21246.0,21962.0
2017-08-10,21225.0,21874.0
2017-08-11,21336.0,21587.0
2017-08-12,20123.0,21467.0
2017-08-13,20177.0,21528.0
2017-08-14,21516.0,22384.0
2017-08-15,21652.0,23472.0
2017-08-16,21545.0,22980.0
2017-08-17,21538.0,22419.0
2017-08-18,21565.0,24367.0
2017-08-19,20488.0,23808.0
2017-08-20,20313.0,23536.0
2017-08-21,21724.0,25614.0
2017-08-22,22297.0,22986.0
2017-08-23,22916.0,24058.0
2017-08-24,23242.0,25289.0
2017-08-25,23783.0,24879.0
2017-08-26,23692.0,24878.0
2017-08-27,23204.0,23934.0
2017-08-28,24020.0,24455.0
2017-08-29,23436.0,23790.0
2017-08-30,23062.0,22298.0
2017-08-31,23060.0,23086.0
2017-09-01,23386.0,23163.0
2017-09-02,22682.0,22053.0
2017-09-03,22583.0,23215.0
2017-09-04,23872.0,23576.0
2017-09-05,23867.0,23449.0
2017-09-06,24206.0,23426.0
2017-09-07,24602.0,23821.0
2017-09-08,24723.0,24799.0
2017-09-09,23606.0,23886.0
2017-09-10,23582.0,22498.0
2017-09-11,24413.0,22210.0
2017-09-12,23828.0,23729.0
2017-09-13,23675.0,22938.0
2017-09-14,24008.0,23328.0
2017-09-15,24338.0,23779.0
2017-09-16,23828.0,23812.0
2017-09-17,23470.0,23804.0
2017-09-18,24487.0,24216.0
2017-09-19,24511.0,26936.0
2017-09-20,24832.0,26138.0
2017-09-21,24885.0,26625.0
2017-09-22,24532.0,25181.0
2017-09-23,23442.0,23160.0
2017-09-24,23124.0,23108.0
2017-09-25,24326.0,25490.0
2017-09-26,24300.0,24414.0
2017-09-27,24541.0,23409.0
2017-09-28,24685.0,24068.0
2017-09-29,24902.0,25431.0
2017-09-30,23976.0,24007.0
2017-10-01,23950.0,22941.0
2017-10-02,25553.0,24498.0
2017-10-03,25399.0,25880.0
2017-10-04,25252.0,26133.0
2017-10-05,25077.0,24653.0
2017-10-06,25019.0,24066.0
2017-10-07,24012.0,23804.0
2017-10-08,23894.0,22592.0
2017-10-09,25613.0,24362.0
2017-10-10,25822.0,25768.0
2017-10-11,25689.0,26876.0
2017-10-12,25622.0,26974.0
2017-10-13,25636.0,25640.0
2017-10-14,24702.0,24216.0
2017-10-15,24373.0,24071.0
2017-10-16,25654.0,25872.0
2017-10-17,25696.0,25820.0
2017-10-18,26075.0,26394.0
2017-10-19,26627.0,26169.0
2017-10-20,26903.0,27626.0
2017-10-21,26097.0,26658.0
2017-10-22,26334.0,26009.0
2017-10-23,27742.0,27463.0
2017-10-24,28083.0,26609.0
2017-10-25,27806.0,26613.0
2017-10-26,27179.0,26773.0
2017-10-27,26864.0,25362.0
2017-10-28,25440.0,25962.0
2017-10-29,26563.0,27417.0
2017-10-30,27571.0,28608.0
2017-10-31,28011.0,29464.0
2017-11-01,27899.0,30260.0
2017-11-02,27723.0,28283.0
2017-11-03,27160.0,27684.0
2017-11-04,25737.0,25927.0
2017-11-05,25244.0,26324.0
2017-11-06,26894.0,27347.0
2017-11-07,27200.0,27966.0
2017-11-08,27552.0,27816.0
2017-11-09,33191.0,27621.0
2017-11-10,29252.0,28152.0
2017-11-11,26807.0,28533.0
2017-11-12,26589.0,28913.0
2017-11-13,27875.0,29530.0
2017-11-14,28227.0,28836.0
2017-11-15,29523.0,30016.0
2017-11-16,30143.0,31460.0
2017-11-17,29764.0,33018.0
2017-11-18,28569.0,28952.0
2017-11-19,29023.0,30980.0
2017-11-20,30943.0,31936.0
2017-11-21,31046.0,30003.0
2017-11-22,31018.0,30307.0
2017-11-23,31251.0,30683.0
2017-11-24,30802.0,28247.0
2017-11-25,28151.0,26744.0
2017-11-26,27562.0,27241.0
2017-11-27,29930.0,31009.0
2017-11-28,30042.0,32360.0
2017-11-29,31954.0,34877.0
2017-11-30,32273.0,34350.0
2017-12-01,31937.0,31256.0
2017-12-02,29460.0,29211.0
2017-12-03,27859.0,28740.0
2017-12-04,30746.0,33403.0
2017-12-05,31318.0,34889.0
2017-12-06,32356.0,34794.0
2017-12-07,32977.0,34638.0
2017-12-08,31385.0,32295.0
2017-12-09,28428.0,30583.0
2017-12-10,27571.0,30528.0
2017-12-11,29603.0,31025.0
2017-12-12,30077.0,31344.0
2017-12-13,31445.0,32247.0
2017-12-14,32539.0,33328.0
2017-12-15,31400.0,31854.0
2017-12-16,29996.0,31128.0
2017-12-17,30988.0,32379.0
2017-12-18,33186.0,36442.0
2017-12-19,32586.0,33981.0
2017-12-20,30694.0,30908.0
2017-12-21,30840.0,30648.0
2017-12-22,31042.0,30359.0
2017-12-23,30152.0,31434.0
2017-12-24,30466.0,32512.0
2017-12-25,30420.0,32269.0
2017-12-26,32029.0,33994.0
2017-12-27,34480.0,35265.0
2017-12-28,34485.0,34584.0
2017-12-29,33106.0,34636.0
2017-12-30,30823.0,31553.0
2017-12-31,30209.0,31197.0
