,Hydro Water Reservoir,Other,Solar,Wind Onshore
2023-01-01 00:00:00+01:00,767.0,19.0,0.0,1695.0
2023-01-01 01:00:00+01:00,776.0,19.0,0.0,1710.0
2023-01-01 02:00:00+01:00,771.0,20.0,0.0,1751.0
2023-01-01 03:00:00+01:00,781.0,20.0,0.0,1731.0
2023-01-01 04:00:00+01:00,791.0,20.0,0.0,1738.0
2023-01-01 05:00:00+01:00,785.0,20.0,0.0,1731.0
2023-01-01 06:00:00+01:00,843.0,20.0,0.0,1738.0
2023-01-01 07:00:00+01:00,829.0,20.0,0.0,1738.0
2023-01-01 08:00:00+01:00,838.0,19.0,0.0,1794.0
2023-01-01 09:00:00+01:00,837.0,19.0,0.0,1758.0
2023-01-01 10:00:00+01:00,836.0,19.0,0.0,1813.0
2023-01-01 11:00:00+01:00,830.0,19.0,0.0,1802.0
2023-01-01 12:00:00+01:00,835.0,19.0,0.0,1829.0
2023-01-01 13:00:00+01:00,918.0,19.0,0.0,1781.0
2023-01-01 14:00:00+01:00,1272.0,19.0,0.0,1780.0
2023-01-01 15:00:00+01:00,1537.0,28.0,0.0,1763.0
2023-01-01 16:00:00+01:00,2402.0,33.0,0.0,1732.0
2023-01-01 17:00:00+01:00,2765.0,33.0,0.0,1705.0
2023-01-01 18:00:00+01:00,2946.0,34.0,0.0,1697.0
2023-01-01 19:00:00+01:00,2930.0,34.0,0.0,1654.0
2023-01-01 20:00:00+01:00,2785.0,29.0,0.0,1662.0
2023-01-01 21:00:00+01:00,2627.0,28.0,0.0,1707.0
2023-01-01 22:00:00+01:00,2566.0,28.0,0.0,1701.0
2023-01-01 23:00:00+01:00,2284.0,28.0,0.0,1707.0
2023-01-02 00:00:00+01:00,2044.0,20.0,0.0,1709.0
2023-01-02 01:00:00+01:00,1913.0,20.0,0.0,1714.0
2023-01-02 02:00:00+01:00,1903.0,20.0,0.0,1678.0
2023-01-02 03:00:00+01:00,1861.0,20.0,0.0,1655.0
2023-01-02 04:00:00+01:00,1848.0,20.0,0.0,1581.0
2023-01-02 05:00:00+01:00,3111.0,24.0,0.0,1581.0
2023-01-02 06:00:00+01:00,3997.0,30.0,0.0,1466.0
2023-01-02 07:00:00+01:00,4103.0,30.0,0.0,1342.0
2023-01-02 08:00:00+01:00,4017.0,29.0,0.0,1273.0
2023-01-02 09:00:00+01:00,3933.0,29.0,0.0,1209.0
2023-01-02 10:00:00+01:00,3944.0,29.0,0.0,1229.0
2023-01-02 11:00:00+01:00,3941.0,28.0,0.0,1078.0
2023-01-02 12:00:00+01:00,3990.0,34.0,0.0,1055.0
2023-01-02 13:00:00+01:00,4036.0,34.0,0.0,1048.0
2023-01-02 14:00:00+01:00,4045.0,34.0,0.0,1084.0
2023-01-02 15:00:00+01:00,4114.0,34.0,0.0,1011.0
2023-01-02 16:00:00+01:00,4046.0,34.0,0.0,1056.0
2023-01-02 17:00:00+01:00,4069.0,34.0,0.0,971.0
2023-01-02 18:00:00+01:00,4070.0,34.0,0.0,812.0
2023-01-02 19:00:00+01:00,4061.0,34.0,0.0,805.0
2023-01-02 20:00:00+01:00,4048.0,35.0,0.0,749.0
2023-01-02 21:00:00+01:00,4044.0,34.0,0.0,610.0
2023-01-02 22:00:00+01:00,3928.0,37.0,0.0,521.0
2023-01-02 23:00:00+01:00,3917.0,37.0,0.0,563.0
2023-01-03 00:00:00+01:00,3245.0,36.0,0.0,516.0
2023-01-03 01:00:00+01:00,3109.0,36.0,0.0,353.0
2023-01-03 02:00:00+01:00,3095.0,36.0,0.0,390.0
2023-01-03 03:00:00+01:00,3018.0,39.0,0.0,422.0
2023-01-03 04:00:00+01:00,3027.0,39.0,0.0,435.0
2023-01-03 05:00:00+01:00,3234.0,39.0,0.0,505.0
2023-01-03 06:00:00+01:00,3421.0,39.0,0.0,561.0
2023-01-03 07:00:00+01:00,3431.0,38.0,0.0,647.0
2023-01-03 08:00:00+01:00,3436.0,38.0,0.0,749.0
2023-01-03 09:00:00+01:00,3393.0,37.0,0.0,850.0
2023-01-03 10:00:00+01:00,3276.0,36.0,0.0,973.0
2023-01-03 11:00:00+01:00,3461.0,35.0,0.0,1006.0
2023-01-03 12:00:00+01:00,3455.0,36.0,0.0,1175.0
2023-01-03 13:00:00+01:00,3535.0,36.0,0.0,1181.0
2023-01-03 14:00:00+01:00,3541.0,33.0,0.0,1229.0
2023-01-03 15:00:00+01:00,3569.0,31.0,0.0,1229.0
2023-01-03 16:00:00+01:00,3575.0,28.0,0.0,1181.0
2023-01-03 17:00:00+01:00,3576.0,28.0,0.0,960.0
2023-01-03 18:00:00+01:00,3592.0,28.0,0.0,785.0
2023-01-03 19:00:00+01:00,3596.0,30.0,0.0,695.0
2023-01-03 20:00:00+01:00,3617.0,30.0,0.0,641.0
2023-01-03 21:00:00+01:00,3617.0,30.0,0.0,664.0
