,Fossil Gas,Hydro Water Reservoir,Other,Solar,Wind Onshore
2023-01-01 00:00:00+01:00,0.0,1226.0,71.0,0.0,3159.0
2023-01-01 01:00:00+01:00,0.0,1112.0,70.0,0.0,3050.0
2023-01-01 02:00:00+01:00,0.0,1093.0,71.0,0.0,3152.0
2023-01-01 03:00:00+01:00,0.0,1053.0,71.0,0.0,3257.0
2023-01-01 04:00:00+01:00,0.0,1053.0,71.0,0.0,3216.0
2023-01-01 05:00:00+01:00,0.0,1141.0,74.0,0.0,3215.0
2023-01-01 06:00:00+01:00,0.0,1162.0,71.0,0.0,3132.0
2023-01-01 07:00:00+01:00,0.0,1219.0,71.0,0.0,3197.0
2023-01-01 08:00:00+01:00,0.0,1233.0,72.0,0.0,3298.0
2023-01-01 09:00:00+01:00,0.0,1244.0,72.0,0.0,3399.0
2023-01-01 10:00:00+01:00,0.0,1331.0,72.0,0.0,3330.0
2023-01-01 11:00:00+01:00,0.0,1376.0,72.0,0.0,3107.0
2023-01-01 12:00:00+01:00,0.0,1385.0,83.0,0.0,2994.0
2023-01-01 13:00:00+01:00,0.0,1409.0,83.0,0.0,2883.0
2023-01-01 14:00:00+01:00,0.0,1644.0,94.0,0.0,2899.0
2023-01-01 15:00:00+01:00,0.0,2002.0,97.0,0.0,2910.0
2023-01-01 16:00:00+01:00,0.0,2413.0,97.0,0.0,2939.0
2023-01-01 17:00:00+01:00,0.0,2780.0,97.0,0.0,2897.0
2023-01-01 18:00:00+01:00,0.0,3210.0,102.0,0.0,2905.0
2023-01-01 19:00:00+01:00,0.0,3281.0,102.0,0.0,2771.0
2023-01-01 20:00:00+01:00,0.0,3245.0,99.0,0.0,2610.0
2023-01-01 21:00:00+01:00,0.0,3099.0,99.0,0.0,2501.0
2023-01-01 22:00:00+01:00,0.0,3042.0,98.0,0.0,2307.0
2023-01-01 23:00:00+01:00,0.0,2736.0,99.0,0.0,2058.0
2023-01-02 00:00:00+01:00,0.0,2571.0,120.0,0.0,1871.0
2023-01-02 01:00:00+01:00,0.0,2300.0,120.0,0.0,1797.0
2023-01-02 02:00:00+01:00,0.0,2289.0,120.0,0.0,1749.0
2023-01-02 03:00:00+01:00,0.0,2294.0,121.0,0.0,1754.0
2023-01-02 04:00:00+01:00,0.0,2326.0,121.0,0.0,1783.0
2023-01-02 05:00:00+01:00,0.0,2928.0,122.0,0.0,1656.0
2023-01-02 06:00:00+01:00,0.0,4130.0,128.0,0.0,1593.0
2023-01-02 07:00:00+01:00,0.0,4527.0,137.0,0.0,1627.0
2023-01-02 08:00:00+01:00,0.0,4841.0,146.0,0.0,1600.0
2023-01-02 09:00:00+01:00,0.0,5095.0,149.0,0.0,1559.0
2023-01-02 10:00:00+01:00,0.0,5301.0,148.0,0.0,1445.0
2023-01-02 11:00:00+01:00,0.0,5517.0,146.0,0.0,1204.0
2023-01-02 12:00:00+01:00,0.0,5619.0,144.0,0.0,1037.0
2023-01-02 13:00:00+01:00,0.0,5757.0,144.0,0.0,793.0
2023-01-02 14:00:00+01:00,0.0,5804.0,144.0,0.0,616.0
2023-01-02 15:00:00+01:00,0.0,5775.0,145.0,0.0,541.0
2023-01-02 16:00:00+01:00,0.0,5906.0,145.0,0.0,484.0
2023-01-02 17:00:00+01:00,0.0,5936.0,146.0,0.0,487.0
2023-01-02 18:00:00+01:00,0.0,5919.0,147.0,0.0,573.0
2023-01-02 19:00:00+01:00,0.0,5931.0,147.0,0.0,684.0
2023-01-02 20:00:00+01:00,0.0,5816.0,147.0,0.0,884.0
2023-01-02 21:00:00+01:00,0.0,5480.0,147.0,0.0,1148.0
2023-01-02 22:00:00+01:00,0.0,5120.0,152.0,0.0,1414.0
2023-01-02 23:00:00+01:00,0.0,4882.0,163.0,0.0,1668.0
2023-01-03 00:00:00+01:00,0.0,3815.0,188.0,0.0,1956.0
2023-01-03 01:00:00+01:00,0.0,3210.0,195.0,0.0,2209.0
2023-01-03 02:00:00+01:00,0.0,3123.0,200.0,0.0,2441.0
2023-01-03 03:00:00+01:00,0.0,3083.0,206.0,0.0,2730.0
2023-01-03 04:00:00+01:00,0.0,3218.0,211.0,0.0,3069.0
2023-01-03 05:00:00+01:00,0.0,3589.0,217.0,0.0,3186.0
2023-01-03 06:00:00+01:00,0.0,4663.0,218.0,0.0,3283.0
2023-01-03 07:00:00+01:00,0.0,4941.0,214.0,0.0,3348.0
2023-01-03 08:00:00+01:00,0.0,5098.0,220.0,0.0,3355.0
2023-01-03 09:00:00+01:00,0.0,5143.0,217.0,0.0,3364.0
2023-01-03 10:00:00+01:00,0.0,5300.0,224.0,0.0,3237.0
2023-01-03 11:00:00+01:00,0.0,5533.0,222.0,0.0,3087.0
2023-01-03 12:00:00+01:00,0.0,5497.0,226.0,0.0,2930.0
2023-01-03 13:00:00+01:00,0.0,5552.0,229.0,0.0,2762.0
2023-01-03 14:00:00+01:00,0.0,5603.0,233.0,0.0,2668.0
2023-01-03 15:00:00+01:00,0.0,5623.0,229.0,0.0,2438.0
2023-01-03 16:00:00+01:00,0.0,5699.0,224.0,0.0,2272.0
2023-01-03 17:00:00+01:00,0.0,5712.0,223.0,0.0,2140.0
2023-01-03 18:00:00+01:00,0.0,5770.0,212.0,0.0,1983.0
2023-01-03 19:00:00+01:00,0.0,5720.0,216.0,0.0,1755.0
2023-01-03 20:00:00+01:00,0.0,5649.0,215.0,0.0,1517.0
2023-01-03 21:00:00+01:00,0.0,5594.0,220.0,0.0,1317.0
2023-01-03 22:00:00+01:00,0.0,5256.0,222.0,0.0,1118.0
2023-01-03 23:00:00+01:00,0.0,4949.0,228.0,0.0,1013.0
2023-01-04 00:00:00+01:00,0.0,4427.0,232.0,0.0,855.0
2023-01-04 01:00:00+01:00,0.0,3932.0,232.0,0.0,712.0
2023-01-04 02:00:00+01:00,0.0,3601.0,221.0,0.0,657.0
2023-01-04 03:00:00+01:00,0.0,3500.0,216.0,0.0,620.0
2023-01-04 04:00:00+01:00,0.0,3611.0,221.0,0.0,578.0
2023-01-04 05:00:00+01:00,0.0,3868.0,218.0,0.0,609.0
2023-01-04 06:00:00+01:00,0.0,4941.0,228.0,0.0,699.0
2023-01-04 07:00:00+01:00,0.0,5251.0,223.0,0.0,727.0
2023-01-04 08:00:00+01:00,0.0,5389.0,231.0,0.0,793.0
2023-01-04 09:00:00+01:00,0.0,5385.0,226.0,0.0,783.0
2023-01-04 10:00:00+01:00,0.0,5160.0,217.0,0.0,862.0
2023-01-04 11:00:00+01:00,0.0,5108.0,218.0,0.0,912.0
2023-01-04 12:00:00+01:00,0.0,5088.0,221.0,0.0,906.0
2023-01-04 13:00:00+01:00,0.0,5030.0,228.0,0.0,992.0
2023-01-04 14:00:00+01:00,0.0,5000.0,228.0,0.0,1104.0
2023-01-04 15:00:00+01:00,0.0,5016.0,237.0,0.0,1287.0
2023-01-04 16:00:00+01:00,0.0,5095.0,235.0,0.0,1426.0
2023-01-04 17:00:00+01:00,0.0,5166.0,237.0,0.0,1643.0
2023-01-04 18:00:00+01:00,0.0,4729.0,236.0,0.0,1870.0
2023-01-04 19:00:00+01:00,0.0,4375.0,229.0,0.0,1898.0
2023-01-04 20:00:00+01:00,0.0,3527.0,238.0,0.0,1877.0
2023-01-04 21:00:00+01:00,0.0,3176.0,235.0,0.0,1854.0
2023-01-04 22:00:00+01:00,0.0,2670.0,231.0,0.0,1812.0
2023-01-04 23:00:00+01:00,0.0,2328.0,227.0,0.0,1776.0
2023-01-05 00:00:00+01:00,0.0,1981.0,229.0,0.0,1748.0
2023-01-05 01:00:00+01:00,0.0,1722.0,230.0,0.0,1680.0
2023-01-05 02:00:00+01:00,0.0,1651.0,228.0,0.0,1676.0
2023-01-05 03:00:00+01:00,0.0,1721.0,229.0,0.0,1708.0
2023-01-05 04:00:00+01:00,0.0,1749.0,224.0,0.0,1624.0
2023-01-05 05:00:00+01:00,0.0,2079.0,227.0,0.0,1554.0
2023-01-05 06:00:00+01:00,0.0,2909.0,229.0,0.0,1460.0
2023-01-05 07:00:00+01:00,0.0,4458.0,229.0,0.0,1349.0
2023-01-05 08:00:00+01:00,0.0,5056.0,234.0,0.0,1235.0
2023-01-05 09:00:00+01:00,0.0,5281.0,238.0,0.0,1061.0
2023-01-05 10:00:00+01:00,0.0,5362.0,231.0,0.0,944.0
2023-01-05 11:00:00+01:00,0.0,5421.0,232.0,0.0,766.0
2023-01-05 12:00:00+01:00,0.0,5496.0,232.0,0.0,679.0
2023-01-05 13:00:00+01:00,0.0,5549.0,222.0,0.0,647.0
2023-01-05 14:00:00+01:00,0.0,5539.0,216.0,0.0,597.0
2023-01-05 15:00:00+01:00,0.0,5579.0,219.0,0.0,527.0
