,Fossil Gas,Hydro Water Reservoir,Other,Solar,Wind Onshore
2021-01-01,0.0,0.0,0.0,0.0,2831.0
2021-01-02,0.0,0.0,0.0,0.0,1054.0
2021-01-03,0.0,0.0,0.0,0.0,11898.0
2021-01-04,0.0,0.0,0.0,0.0,14181.0
2021-01-05,0.0,0.0,0.0,0.0,16491.0
2021-01-06,0.0,0.0,0.0,0.0,21789.0
2021-01-07,0.0,0.0,0.0,0.0,8741.0
2021-01-08,0.0,0.0,0.0,0.0,6338.0
2021-01-09,0.0,0.0,0.0,0.0,3390.0
2021-01-10,0.0,0.0,0.0,0.0,12397.0
2021-01-11,0.0,0.0,0.0,0.0,23802.0
2021-01-12,0.0,0.0,0.0,0.0,12347.0
2021-01-13,0.0,0.0,0.0,0.0,13447.0
2021-01-14,0.0,0.0,0.0,0.0,15258.0
2021-01-15,0.0,0.0,0.0,0.0,9295.0
2021-01-16,0.0,0.0,0.0,0.0,7276.0
2021-01-17,0.0,0.0,0.0,0.0,1953.0
2021-01-18,0.0,0.0,0.0,0.0,7345.0
2021-01-19,0.0,0.0,0.0,0.0,6960.0
2021-01-20,0.0,0.0,0.0,0.0,17508.0
2021-01-21,0.0,0.0,0.0,0.0,27937.0
2021-01-22,0.0,0.0,0.0,0.0,28986.0
2021-01-23,0.0,0.0,0.0,0.0,8944.0
2021-01-24,0.0,0.0,0.0,0.0,2224.0
2021-01-25,0.0,0.0,0.0,0.0,2803.0
2021-01-26,0.0,0.0,0.0,0.0,6021.0
2021-01-27,0.0,0.0,0.0,0.0,5196.0
2021-01-28,0.0,0.0,0.0,0.0,13356.0
2021-01-29,0.0,0.0,0.0,0.0,7310.0
2021-01-30,0.0,0.0,0.0,0.0,6427.0
2021-01-31,0.0,0.0,0.0,0.0,5067.0
2021-02-01,0.0,0.0,0.0,0.0,4565.0
2021-02-02,0.0,0.0,0.0,0.0,2806.0
2021-02-03,0.0,0.0,0.0,0.0,13065.0
2021-02-04,0.0,0.0,0.0,0.0,12392.0
2021-02-05,0.0,0.0,0.0,0.0,8432.0
2021-02-06,0.0,0.0,0.0,0.0,13564.0
2021-02-07,0.0,0.0,0.0,0.0,18052.0
2021-02-08,0.0,0.0,0.0,0.0,22292.0
2021-02-09,0.0,0.0,0.0,0.0,22723.0
2021-02-10,0.0,0.0,0.0,0.0,17186.0
2021-02-11,0.0,0.0,0.0,0.0,12142.0
2021-02-12,0.0,0.0,0.0,0.0,9830.0
2021-02-13,0.0,0.0,0.0,0.0,9832.0
2021-02-14,0.0,0.0,0.0,0.0,9708.0
2021-02-15,0.0,0.0,0.0,0.0,9883.0
2021-02-16,0.0,0.0,0.0,0.0,5325.0
2021-02-17,0.0,0.0,0.0,0.0,15598.0
2021-02-18,0.0,0.0,0.0,0.0,16992.0
2021-02-19,0.0,0.0,0.0,0.0,11096.0
2021-02-20,0.0,0.0,0.0,0.0,10502.0
2021-02-21,0.0,0.0,0.0,0.0,8461.0
2021-02-22,0.0,0.0,0.0,0.0,4908.0
2021-02-23,0.0,0.0,0.0,0.0,10714.0
