,Hydro Water Reservoir,Nuclear,Other,Wind Onshore
2018-04-13,166578.0,181368.0,25391.0,70259.0
2018-04-14,120438.0,178412.0,22136.0,42750.0
2018-04-15,124315.0,174489.0,20400.0,14520.0
2018-04-16,173216.0,177431.0,22243.0,4899.0
2018-04-17,160046.0,178299.0,21044.0,12906.0
2018-04-18,158268.0,177871.0,19631.0,41411.0
2018-04-19,159474.0,177620.0,18141.0,32912.0
2018-04-20,159664.0,177640.0,16226.0,52615.0
2018-04-21,124044.0,177468.0,14331.0,78229.0
2018-04-22,139353.0,177559.0,15154.0,24506.0
2018-04-23,173686.0,176616.0,17257.0,69870.0
2018-04-24,182279.0,172243.0,16574.0,64592.0
2018-04-25,190950.0,153645.0,15443.0,51214.0
2018-04-26,196513.0,159762.0,17260.0,42194.0
2018-04-27,207832.0,177032.0,17627.0,28424.0
2018-04-28,197699.0,177519.0,15812.0,9208.0
2018-04-29,190170.0,173747.0,16087.0,6760.0
2018-04-30,198449.0,172370.0,17901.0,45138.0
2018-05-01,171248.0,177125.0,17967.0,54825.0
2018-05-02,201377.0,176956.0,17907.0,31264.0
2018-05-03,209825.0,176799.0,17200.0,41679.0
2018-05-04,207238.0,177030.0,15275.0,26506.0
2018-05-05,188163.0,176871.0,14594.0,27679.0
2018-05-06,176454.0,175806.0,13739.0,44639.0
2018-05-07,204226.0,175784.0,12930.0,44074.0
2018-05-08,201091.0,175591.0,11288.0,24568.0
2018-05-09,203094.0,152738.0,12139.0,63613.0
2018-05-10,200160.0,148086.0,13185.0,62083.0
2018-05-11,212491.0,149785.0,12552.0,31372.0
2018-05-12,206819.0,150365.0,12247.0,15860.0
2018-05-13,207800.0,150290.0,12140.0,19932.0
2018-05-14,212846.0,149864.0,11181.0,18610.0
2018-05-15,208236.0,149430.0,10812.0,10291.0
2018-05-16,207460.0,149036.0,9880.0,26307.0
2018-05-17,219189.0,145014.0,12076.0,43715.0
2018-05-18,222751.0,149392.0,13946.0,36372.0
2018-05-19,206730.0,149003.0,13653.0,15655.0
2018-05-20,195846.0,148515.0,11280.0,29342.0
2018-05-21,205783.0,145824.0,10992.0,26017.0
2018-05-22,210544.0,145388.0,11899.0,20350.0
2018-05-23,209878.0,147950.0,13073.0,20977.0
2018-05-24,207179.0,141405.0,11378.0,17021.0
2018-05-25,203503.0,143281.0,10985.0,22856.0
2018-05-26,180001.0,146707.0,10169.0,25345.0
2018-05-27,157920.0,147633.0,10202.0,31022.0
2018-05-28,191446.0,146833.0,10960.0,34319.0
2018-05-29,182219.0,146791.0,10268.0,44423.0
2018-05-30,189536.0,146026.0,10548.0,30376.0
2018-05-31,187760.0,153476.0,10814.0,41702.0
2018-06-01,172125.0,166758.0,10231.0,28089.0
2018-06-02,134885.0,165402.0,9061.0,23963.0
2018-06-03,108192.0,167783.0,9432.0,39173.0
2018-06-04,156920.0,168248.0,9893.0,85500.0
2018-06-05,161292.0,173099.0,9437.0,71647.0
2018-06-06,169681.0,171898.0,10085.0,29608.0
2018-06-07,170748.0,172386.0,10559.0,50457.0
2018-06-08,167360.0,169845.0,10682.0,16337.0
2018-06-09,107692.0,172196.0,10519.0,12906.0
2018-06-10,97522.0,172582.0,10128.0,13214.0
2018-06-11,125466.0,172976.0,10397.0,38953.0
2018-06-12,134051.0,161204.0,11138.0,30148.0
2018-06-13,157392.0,158722.0,10276.0,11907.0
2018-06-14,124013.0,160271.0,10795.0,61913.0
2018-06-15,126305.0,166519.0,11506.0,72927.0
2018-06-16,96918.0,149919.0,10671.0,23572.0
2018-06-17,89024.0,160520.0,10655.0,32051.0
2018-06-18,132140.0,184024.0,10820.0,51988.0
2018-06-19,122941.0,191344.0,11934.0,97002.0
2018-06-20,124345.0,197570.0,11261.0,78006.0
2018-06-21,125193.0,198255.0,10922.0,47952.0
2018-06-22,87672.0,198885.0,11155.0,89132.0
2018-06-23,76878.0,196550.0,10678.0,58987.0
2018-06-24,97491.0,195324.0,10585.0,21136.0
2018-06-25,149712.0,195474.0,10579.0,23741.0
2018-06-26,161058.0,184198.0,10510.0,28208.0
2018-06-27,159126.0,183274.0,10015.0,23706.0
2018-06-28,145109.0,192297.0,9684.0,40853.0
2018-06-29,139473.0,186575.0,10884.0,73201.0
2018-06-30,101767.0,192519.0,11115.0,26637.0
2018-07-01,105155.0,184612.0,11360.0,19126.0
2018-07-02,154162.0,175924.0,10634.0,19929.0
2018-07-03,151727.0,174894.0,10153.0,28401.0
2018-07-04,155483.0,165403.0,10064.0,36056.0
2018-07-05,154415.0,159402.0,9248.0,12573.0
2018-07-06,139519.0,144159.0,8326.0,22251.0
2018-07-07,81307.0,148153.0,8329.0,48110.0
2018-07-08,86478.0,165400.0,8440.0,17440.0
2018-07-09,117373.0,171422.0,8214.0,24295.0
2018-07-10,135846.0,174126.0,7733.0,18490.0
2018-07-11,135210.0,173637.0,7092.0,12807.0
2018-07-12,136551.0,172984.0,8706.0,10338.0
2018-07-13,117904.0,172523.0,8710.0,7005.0
2018-07-14,60604.0,174775.0,7858.0,10987.0
2018-07-15,60222.0,190626.0,8515.0,11010.0
2018-07-16,106253.0,193165.0,8787.0,10899.0
2018-07-17,92338.0,194553.0,7938.0,16674.0
2018-07-18,97650.0,193056.0,7087.0,18789.0
2018-07-19,98802.0,191470.0,7152.0,14182.0
2018-07-20,93479.0,190359.0,7601.0,11584.0
2018-07-21,60967.0,186299.0,7894.0,20089.0
2018-07-22,57043.0,170920.0,8611.0,22891.0
2018-07-23,98375.0,171955.0,8569.0,19478.0
2018-07-24,99551.0,171997.0,7945.0,17312.0
2018-07-25,92002.0,173090.0,8410.0,22583.0
2018-07-26,92688.0,173850.0,8047.0,16626.0
2018-07-27,85565.0,172852.0,8625.0,23248.0
2018-07-28,55328.0,172215.0,8386.0,45997.0
2018-07-29,60326.0,170408.0,7799.0,35797.0
2018-07-30,104150.0,168047.0,7913.0,14873.0
2018-07-31,116579.0,157240.0,7533.0,17224.0
2018-08-01,121980.0,151441.0,7920.0,19773.0
2018-08-02,117374.0,152088.0,8066.0,15860.0
2018-08-03,109799.0,152890.0,8047.0,32229.0
2018-08-04,64951.0,169345.0,7983.0,27065.0
2018-08-05,55071.0,170963.0,7969.0,50388.0
2018-08-06,116081.0,172234.0,7767.0,53109.0
2018-08-07,134243.0,171807.0,7788.0,12874.0
2018-08-08,107481.0,171488.0,8232.0,53261.0
2018-08-09,109581.0,171091.0,7886.0,36836.0
2018-08-10,86324.0,170747.0,7870.0,80031.0
2018-08-11,55865.0,170660.0,7128.0,66750.0
2018-08-12,52934.0,170646.0,7554.0,65972.0
2018-08-13,134016.0,171054.0,6933.0,35092.0
2018-08-14,139005.0,172340.0,7246.0,17725.0
2018-08-15,124035.0,171499.0,6732.0,19533.0
2018-08-16,104080.0,169827.0,7572.0,63110.0
2018-08-17,104112.0,164578.0,8015.0,66936.0
2018-08-18,67344.0,162244.0,6949.0,69190.0
2018-08-19,80459.0,152122.0,7673.0,75374.0
2018-08-20,128525.0,153273.0,7203.0,47862.0
2018-08-21,141762.0,151584.0,8062.0,40293.0
2018-08-22,133098.0,148835.0,8740.0,56545.0
2018-08-23,149801.0,138494.0,9711.0,38191.0
2018-08-24,138641.0,115816.0,9003.0,45397.0
2018-08-25,116257.0,116100.0,9311.0,36469.0
2018-08-26,111473.0,116083.0,9514.0,19533.0
2018-08-27,151200.0,115919.0,9642.0,34691.0
2018-08-28,181730.0,110177.0,9642.0,18212.0
2018-08-29,173720.0,94975.0,8709.0,27122.0
2018-08-30,169900.0,95115.0,8866.0,30211.0
2018-08-31,170200.0,95658.0,9443.0,39323.0
2018-09-01,148856.0,95905.0,11391.0,13699.0
2018-09-02,118218.0,104201.0,10909.0,15753.0
2018-09-03,170255.0,108762.0,10456.0,23967.0
2018-09-04,179725.0,114144.0,10659.0,14281.0
2018-09-05,180162.0,115569.0,10544.0,8997.0
2018-09-06,178667.0,115447.0,10704.0,12524.0
2018-09-07,167374.0,115499.0,10931.0,29754.0
2018-09-08,112188.0,115517.0,11238.0,40703.0
2018-09-09,108096.0,115534.0,11378.0,41297.0
2018-09-10,148348.0,115745.0,11541.0,62506.0
2018-09-11,151712.0,116192.0,11573.0,66062.0
2018-09-12,141160.0,116667.0,12204.0,89348.0
2018-09-13,149450.0,116776.0,12716.0,66552.0
2018-09-14,160800.0,116353.0,13132.0,53186.0
2018-09-15,104683.0,116244.0,13897.0,68707.0
2018-09-16,105967.0,116726.0,14133.0,59194.0
2018-09-17,162179.0,123507.0,14308.0,60676.0
2018-09-18,144990.0,136287.0,14015.0,53373.0
2018-09-19,138549.0,141753.0,14332.0,70832.0
2018-09-20,124121.0,148191.0,13578.0,108385.0
2018-09-21,98170.0,164163.0,13720.0,99513.0
2018-09-22,61345.0,164605.0,14155.0,126006.0
2018-09-23,79221.0,165456.0,15473.0,97487.0
2018-09-24,110583.0,166463.0,16683.0,92947.0
2018-09-25,144030.0,172041.0,17536.0,80494.0
2018-09-26,80652.0,173255.0,17895.0,130683.0
2018-09-27,104174.0,173324.0,17823.0,92182.0
2018-09-28,127617.0,173492.0,17128.0,64328.0
2018-09-29,104085.0,173256.0,16587.0,78210.0
2018-09-30,81856.0,187207.0,16249.0,90711.0
2018-10-01,138964.0,196636.0,17706.0,35200.0
2018-10-02,117943.0,200136.0,19465.0,40385.0
2018-10-03,113379.0,201746.0,20085.0,54852.0
2018-10-04,157652.0,169107.0,20595.0,35733.0
2018-10-05,119583.0,166728.0,18669.0,95462.0
2018-10-06,105549.0,168338.0,17618.0,52536.0
2018-10-07,117048.0,168321.0,19568.0,30690.0
2018-10-08,110403.0,167881.0,19720.0,100030.0
2018-10-09,107824.0,167330.0,17761.0,92892.0
2018-10-10,134472.0,167053.0,16835.0,52508.0
2018-10-11,130410.0,167468.0,18871.0,43554.0
2018-10-12,128618.0,183031.0,16614.0,48402.0
2018-10-13,66588.0,195455.0,15948.0,86348.0
2018-10-14,53018.0,199732.0,16607.0,100577.0
2018-10-15,133288.0,200042.0,17607.0,48555.0
2018-10-16,153375.0,200061.0,18204.0,19501.0
2018-10-17,136804.0,199578.0,17217.0,41827.0
2018-10-18,147350.0,190534.0,17976.0,53946.0
2018-10-19,165827.0,190585.0,18506.0,37271.0
2018-10-20,137199.0,199490.0,20407.0,24602.0
2018-10-21,83765.0,199535.0,20588.0,83923.0
2018-10-22,110173.0,199344.0,22474.0,110988.0
2018-10-23,109676.0,199831.0,22950.0,91123.0
2018-10-24,139814.0,199557.0,25638.0,84037.0
2018-10-25,148452.0,199802.0,26170.0,53872.0
2018-10-26,183233.0,199355.0,26644.0,26412.0
2018-10-27,132793.0,199544.0,31211.0,78713.0
2018-10-28,133123.0,208035.0,31670.0,45776.0
2018-10-29,162869.0,199810.0,28885.0,72392.0
2018-10-30,143703.0,185174.0,27343.0,102332.0
2018-10-31,149560.0,184433.0,24388.0,91892.0
2018-11-01,166536.0,184701.0,23873.0,49332.0
2018-11-02,165497.0,184676.0,24910.0,54744.0
2018-11-03,137909.0,184317.0,24493.0,59458.0
2018-11-04,123546.0,173764.0,24516.0,64092.0
2018-11-05,174933.0,172899.0,25995.0,37391.0
2018-11-06,185982.0,172680.0,23596.0,24879.0
2018-11-07,195464.0,176703.0,23072.0,12223.0
2018-11-08,197552.0,183314.0,23921.0,8404.0
2018-11-09,194885.0,184743.0,24498.0,8439.0
2018-11-10,128597.0,184678.0,23638.0,50836.0
2018-11-11,106970.0,184753.0,24528.0,83810.0
2018-11-12,169898.0,184668.0,25620.0,61738.0
2018-11-13,181045.0,184664.0,25960.0,34215.0
2018-11-14,199709.0,184611.0,25941.0,26355.0
2018-11-15,187336.0,184172.0,26901.0,60671.0
