,Forecasted Load,Actual Load
2018-01-01,240458.0,249777.0
2018-01-02,270074.0,277423.0
2018-01-03,284354.0,284270.0
2018-01-04,282439.0,290160.0
2018-01-05,288635.0,290150.0
2018-01-06,296404.0,286290.0
2018-01-07,303291.0,290813.0
2018-01-08,319827.0,308233.0
2018-01-09,309864.0,309291.0
2018-01-10,311537.0,323332.0
2018-01-11,313527.0,310659.0
2018-01-12,310469.0,303485.0
2018-01-13,282740.0,280928.0
2018-01-14,286016.0,278222.0
2018-01-15,324210.0,312695.0
2018-01-16,310652.0,307530.0
2018-01-17,307040.0,309210.0
2018-01-18,308560.0,311050.0
2018-01-19,304882.0,309113.0
2018-01-20,287460.0,289681.0
2018-01-21,292650.0,296864.0
2018-01-22,323634.0,327100.0
2018-01-23,319755.0,318113.0
2018-01-24,301633.0,288081.0
2018-01-25,288383.0,279015.0
2018-01-26,284674.0,277485.0
2018-01-27,265204.0,263509.0
2018-01-28,262076.0,265624.0
2018-01-29,291394.0,294374.0
2018-01-30,298350.0,301208.0
2018-01-31,303688.0,299000.0
2018-02-01,296877.0,294315.0
2018-02-02,302365.0,311773.0
2018-02-03,293614.0,299256.0
2018-02-04,299841.0,302501.0
2018-02-05,340756.0,344698.0
2018-02-06,350767.0,343579.0
2018-02-07,338329.0,335006.0
2018-02-08,312826.0,314337.0
2018-02-09,308984.0,307319.0
2018-02-10,285165.0,293410.0
2018-02-11,286087.0,287696.0
2018-02-12,305531.0,309312.0
2018-02-13,308789.0,299415.0
2018-02-14,314881.0,302634.0
2018-02-15,311076.0,306044.0
2018-02-16,298953.0,303146.0
2018-02-17,278238.0,276893.0
2018-02-18,283990.0,275014.0
2018-02-19,309858.0,309306.0
2018-02-20,317927.0,320746.0
2018-02-21,330481.0,327957.0
2018-02-22,338264.0,328275.0
2018-02-23,322155.0,317582.0
2018-02-24,308872.0,304386.0
2018-02-25,312995.0,305583.0
2018-02-26,340143.0,342729.0
2018-02-27,347686.0,361016.0
2018-02-28,376815.0,374326.0
2018-03-01,377253.0,354427.0
2018-03-02,349205.0,341291.0
2018-03-03,317038.0,312301.0
2018-03-04,306997.0,302709.0
2018-03-05,331451.0,324313.0
2018-03-06,316280.0,312985.0
2018-03-07,310618.0,309511.0
2018-03-08,314387.0,309907.0
2018-03-09,298989.0,300624.0
2018-03-10,275069.0,284030.0
2018-03-11,278624.0,281463.0
2018-03-12,299828.0,299061.0
2018-03-13,297167.0,298170.0
2018-03-14,303103.0,301662.0
2018-03-15,321953.0,315767.0
2018-03-16,324709.0,323864.0
2018-03-17,311408.0,300716.0
2018-03-18,306421.0,292333.0
2018-03-19,312824.0,301988.0
2018-03-20,299828.0,294481.0
2018-03-21,287210.0,288528.0
2018-03-22,282618.0,285245.0
2018-03-23,276681.0,280087.0
2018-03-24,258600.0,260753.0
2018-03-25,242137.0,236226.0
2018-03-26,290491.0,292322.0
2018-03-27,293913.0,304041.0
2018-03-28,304926.0,302357.0
2018-03-29,296830.0,290041.0
2018-03-30,265583.0,263273.0
2018-03-31,251143.0,240184.0
2018-04-01,247466.0,249389.0
2018-04-02,249105.0,253212.0
2018-04-03,280629.0,279846.0
2018-04-04,270801.0,270837.0
2018-04-05,264234.0,262145.0
2018-04-06,261080.0,263115.0
2018-04-07,243294.0,236103.0
2018-04-08,235683.0,224090.0
2018-04-09,256914.0,252688.0
2018-04-10,254127.0,252531.0
2018-04-11,262269.0,259589.0
2018-04-12,257944.0,249922.0
2018-04-13,249165.0,237367.0
2018-04-14,220324.0,211956.0
2018-04-15,210170.0,214695.0
2018-04-16,233483.0,235841.0
2018-04-17,238221.0,240106.0
2018-04-18,235535.0,235544.0
2018-04-19,230716.0,228805.0
2018-04-20,213943.0,214519.0
2018-04-21,197274.0,195155.0
2018-04-22,205541.0,198931.0
2018-04-23,244068.0,236445.0
2018-04-24,233941.0,240058.0
2018-04-25,243642.0,239798.0
2018-04-26,241728.0,234860.0
2018-04-27,235228.0,233984.0
2018-04-28,211141.0,215447.0
2018-04-29,209319.0,212010.0
2018-04-30,228441.0,225095.0
2018-05-01,206328.0,219751.0
2018-05-02,233706.0,234142.0
2018-05-03,243784.0,237269.0
2018-05-04,238050.0,227924.0
2018-05-05,204191.0,197341.0
2018-05-06,190149.0,190350.0
2018-05-07,205164.0,213583.0
2018-05-08,201763.0,207480.0
2018-05-09,206815.0,207296.0
2018-05-10,188884.0,195471.0
