,Wind Onshore
2017-01-01,18407.0
2017-01-02,15441.0
2017-01-03,16995.0
2017-01-04,18161.0
2017-01-05,6549.0
2017-01-06,36273.0
2017-01-07,35762.0
2017-01-08,35887.0
2017-01-09,26405.0
2017-01-10,32228.0
2017-01-11,39090.0
2017-01-12,11299.0
2017-01-13,5356.0
2017-01-14,20344.0
2017-01-15,36516.0
2017-01-16,17797.0
2017-01-17,30994.0
2017-01-18,34108.0
2017-01-19,40749.0
2017-01-20,29790.0
2017-01-21,28677.0
2017-01-22,28806.0
2017-01-23,33094.0
2017-01-24,10381.0
2017-01-25,32529.0
2017-01-26,32331.0
2017-01-27,22551.0
2017-01-28,19195.0
2017-01-29,29293.0
2017-01-30,28644.0
2017-01-31,6537.0
2017-02-01,9907.0
2017-02-02,8819.0
2017-02-03,1660.0
2017-02-04,341.0
2017-02-05,702.0
2017-02-06,500.0
2017-02-07,2457.0
2017-02-08,4288.0
2017-02-09,4756.0
2017-02-10,1825.0
2017-02-11,11265.0
2017-02-12,29170.0
2017-02-13,41588.0
2017-02-14,22490.0
2017-02-15,9741.0
2017-02-16,10840.0
2017-02-17,34860.0
2017-02-18,27895.0
2017-02-19,26994.0
2017-02-20,4850.0
2017-02-21,7110.0
2017-02-22,14540.0
2017-02-23,29861.0
2017-02-24,41536.0
2017-02-25,24267.0
2017-02-26,3258.0
2017-02-27,13946.0
2017-02-28,7995.0
2017-03-01,2655.0
2017-03-02,2861.0
2017-03-03,1912.0
2017-03-04,3649.0
2017-03-05,2932.0
2017-03-06,3636.0
2017-03-07,13219.0
2017-03-08,6909.0
2017-03-09,10591.0
2017-03-10,16140.0
2017-03-11,23301.0
2017-03-12,17688.0
2017-03-13,15848.0
2017-03-14,26606.0
2017-03-15,44274.0
2017-03-16,32744.0
2017-03-17,24076.0
2017-03-18,25791.0
2017-03-19,13008.0
2017-03-20,27437.0
2017-03-21,21777.0
2017-03-22,26797.0
2017-03-23,36024.0
2017-03-24,23769.0
2017-03-25,30247.0
2017-03-26,38212.0
2017-03-27,34712.0
2017-03-28,20736.0
2017-03-29,8673.0
2017-03-30,8506.0
2017-03-31,7225.0
2017-04-01,13065.0
2017-04-02,5563.0
2017-04-03,12149.0
2017-04-04,27522.0
2017-04-05,16714.0
2017-04-06,18918.0
2017-04-07,8591.0
2017-04-08,10525.0
2017-04-09,22869.0
2017-04-10,20973.0
2017-04-11,33969.0
2017-04-12,3730.0
2017-04-13,5006.0
2017-04-14,2772.0
2017-04-15,3743.0
2017-04-16,2545.0
2017-04-17,2492.0
2017-04-18,3114.0
2017-04-19,8140.0
2017-04-20,31450.0
2017-04-21,42596.0
2017-04-22,40835.0
2017-04-23,25679.0
2017-04-24,7521.0
2017-04-25,20097.0
2017-04-26,19374.0
2017-04-27,10478.0
2017-04-28,5646.0
2017-04-29,9231.0
2017-04-30,18563.0
2017-05-01,22943.0
2017-05-02,21527.0
2017-05-03,5341.0
2017-05-04,10804.0
2017-05-05,35922.0
2017-05-06,9207.0
2017-05-07,15534.0
2017-05-08,19665.0
2017-05-09,3559.0
2017-05-10,2159.0
2017-05-11,2537.0
2017-05-12,3871.0
2017-05-13,5225.0
2017-05-14,8395.0
2017-05-15,7901.0
2017-05-16,22136.0
2017-05-17,12340.0
2017-05-18,12062.0
2017-05-19,14131.0
2017-05-20,6113.0
2017-05-21,8959.0
2017-05-22,15730.0
2017-05-23,10842.0
2017-05-24,10472.0
2017-05-25,18339.0
2017-05-26,9897.0
2017-05-27,5786.0
2017-05-28,20598.0
2017-05-29,9371.0
2017-05-30,3855.0
2017-05-31,28001.0
2017-06-01,28338.0
2017-06-02,15196.0
2017-06-03,4064.0
2017-06-04,4784.0
2017-06-05,10193.0
2017-06-06,9442.0
2017-06-07,23462.0
2017-06-08,13873.0
2017-06-09,3118.0
2017-06-10,3573.0
2017-06-11,3961.0
2017-06-12,9316.0
2017-06-13,16633.0
2017-06-14,11893.0
2017-06-15,6607.0
2017-06-16,2140.0
