,Forecasted Load,Actual Load
2021-01-01,31036.0,30167.0
2021-01-02,33079.0,32193.0
2021-01-03,33204.0,32462.0
2021-01-04,33567.0,35457.0
2021-01-05,32628.0,35133.0
2021-01-06,32766.0,34242.0
2021-01-07,34317.0,33994.0
2021-01-08,35203.0,32331.0
2021-01-09,34149.0,32848.0
2021-01-10,32014.0,32677.0
2021-01-11,33113.0,35111.0
2021-01-12,34381.0,35027.0
2021-01-13,37620.0,36853.0
2021-01-14,36941.0,38754.0
2021-01-15,35637.0,34820.0
2021-01-16,33102.0,35818.0
2021-01-17,32603.0,33914.0
2021-01-18,35874.0,37615.0
2021-01-19,36164.0,38408.0
2021-01-20,36517.0,37109.0
2021-01-21,36794.0,36147.0
2021-01-22,37191.0,35204.0
2021-01-23,36292.0,35321.0
2021-01-24,35847.0,34241.0
2021-01-25,36347.0,37162.0
2021-01-26,35910.0,39112.0
2021-01-27,35740.0,35652.0
2021-01-28,35963.0,36463.0
2021-01-29,36617.0,39644.0
2021-01-30,36700.0,36304.0
2021-01-31,36035.0,31858.0
2021-02-01,36247.0,32575.0
2021-02-02,36997.0,37692.0
2021-02-03,35889.0,35845.0
2021-02-04,34814.0,35577.0
2021-02-05,34659.0,32881.0
2021-02-06,34304.0,31250.0
2021-02-07,33282.0,32819.0
2021-02-08,34048.0,34055.0
2021-02-09,34324.0,33640.0
2021-02-10,36063.0,30771.0
2021-02-11,35021.0,34202.0
2021-02-12,32794.0,32239.0
2021-02-13,31429.0,33937.0
2021-02-14,31573.0,33791.0
2021-02-15,33233.0,35002.0
2021-02-16,34009.0,35645.0
2021-02-17,35309.0,37060.0
2021-02-18,36170.0,37170.0
2021-02-19,36031.0,37571.0
2021-02-20,34475.0,35379.0
2021-02-21,35363.0,36592.0
2021-02-22,37116.0,38484.0
2021-02-23,36892.0,37172.0
2021-02-24,35653.0,33849.0
2021-02-25,34527.0,29565.0
2021-02-26,32242.0,30089.0
2021-02-27,29951.0,27053.0
2021-02-28,28581.0,27170.0
2021-03-01,29284.0,28366.0
2021-03-02,29266.0,28234.0
2021-03-03,30024.0,29036.0
