,Forecasted Load,Actual Load
2018-01-01,65039.0,62996.0
2018-01-02,76095.0,77002.0
2018-01-03,78362.0,79881.0
2018-01-04,77457.0,82147.0
2018-01-05,78728.0,80151.0
2018-01-06,77023.0,74847.0
2018-01-07,83365.0,80956.0
2018-01-08,95270.0,89314.0
2018-01-09,90030.0,89790.0
2018-01-10,88265.0,85007.0
2018-01-11,86333.0,81764.0
2018-01-12,85497.0,84237.0
2018-01-13,77949.0,80244.0
2018-01-14,80352.0,80416.0
2018-01-15,92115.0,91964.0
2018-01-16,89362.0,88516.0
2018-01-17,87371.0,87230.0
2018-01-18,87051.0,87467.0
2018-01-19,85506.0,87045.0
2018-01-20,80912.0,78469.0
2018-01-21,78516.0,77822.0
2018-01-22,87672.0,89561.0
2018-01-23,90035.0,90571.0
2018-01-24,83926.0,80021.0
2018-01-25,80656.0,79657.0
2018-01-26,80323.0,80954.0
2018-01-27,74973.0,69898.0
2018-01-28,72656.0,70291.0
2018-01-29,81274.0,78893.0
2018-01-30,82794.0,82608.0
2018-01-31,85856.0,81583.0
2018-02-01,83363.0,83453.0
2018-02-02,81919.0,84521.0
2018-02-03,78283.0,83995.0
2018-02-04,80212.0,82385.0
2018-02-05,96736.0,97067.0
2018-02-06,99189.0,101177.0
2018-02-07,96425.0,95104.0
2018-02-08,92812.0,91633.0
2018-02-09,90570.0,89374.0
2018-02-10,82116.0,81228.0
2018-02-11,80401.0,80476.0
2018-02-12,87071.0,86623.0
2018-02-13,88454.0,88728.0
2018-02-14,88220.0,86828.0
2018-02-15,88881.0,89561.0
2018-02-16,85373.0,87447.0
2018-02-17,78524.0,75730.0
2018-02-18,78196.0,73509.0
2018-02-19,88766.0,84432.0
2018-02-20,89426.0,87749.0
2018-02-21,91235.0,88049.0
2018-02-22,95279.0,88757.0
2018-02-23,89339.0,89234.0
2018-02-24,84741.0,83204.0
2018-02-25,86356.0,85210.0
2018-02-26,96869.0,97269.0
2018-02-27,104680.0,104220.0
2018-02-28,107120.0,106889.0
2018-03-01,106524.0,99941.0
2018-03-02,96257.0,99810.0
2018-03-03,85428.0,86903.0
2018-03-04,82771.0,82021.0
2018-03-05,92691.0,90262.0
2018-03-06,88089.0,84551.0
2018-03-07,88347.0,87621.0
2018-03-08,86702.0,87229.0
2018-03-09,84310.0,83378.0
2018-03-10,78373.0,76912.0
2018-03-11,76452.0,76109.0
2018-03-12,81103.0,82074.0
2018-03-13,81505.0,81728.0
2018-03-14,84795.0,86707.0
2018-03-15,90303.0,88286.0
2018-03-16,92462.0,92292.0
