,Fossil Gas,Hydro Water Reservoir,Marine,Nuclear,Other,Solar,Wind Onshore
2021-03-18,0.0,0.0,0.0,0.0,0.0,0.0,13605.0
2021-03-19,0.0,0.0,0.0,0.0,0.0,0.0,14869.0
2021-03-20,0.0,0.0,0.0,0.0,0.0,0.0,32641.0
2021-03-21,0.0,0.0,0.0,0.0,0.0,0.0,41054.0
2021-03-22,0.0,0.0,0.0,0.0,0.0,0.0,20306.0
2021-03-23,0.0,0.0,0.0,0.0,0.0,0.0,17687.0
2021-03-24,0.0,0.0,0.0,0.0,0.0,0.0,46348.0
2021-03-25,0.0,0.0,0.0,0.0,0.0,0.0,34960.0
2021-03-26,0.0,0.0,0.0,0.0,0.0,0.0,25371.0
2021-03-27,0.0,0.0,0.0,0.0,0.0,0.0,27101.0
2021-03-28,0.0,0.0,0.0,0.0,0.0,0.0,34391.0
2021-03-29,0.0,0.0,0.0,0.0,0.0,0.0,48826.0
2021-03-30,0.0,0.0,0.0,0.0,0.0,0.0,47016.0
2021-03-31,0.0,0.0,0.0,0.0,0.0,0.0,23061.0
2021-04-01,0.0,0.0,0.0,0.0,0.0,0.0,18494.0
2021-04-02,0.0,0.0,0.0,0.0,0.0,0.0,30005.0
2021-04-03,0.0,0.0,0.0,0.0,0.0,0.0,26277.0
2021-04-04,0.0,0.0,0.0,0.0,0.0,0.0,49679.0
2021-04-05,0.0,0.0,0.0,0.0,0.0,0.0,46113.0
2021-04-06,0.0,0.0,0.0,0.0,0.0,0.0,43503.0
2021-04-07,0.0,0.0,0.0,0.0,0.0,0.0,21979.0
2021-04-08,0.0,0.0,0.0,0.0,0.0,0.0,22544.0
2021-04-09,0.0,0.0,0.0,0.0,0.0,0.0,58792.0
2021-04-10,0.0,0.0,0.0,0.0,0.0,0.0,38331.0
2021-04-11,0.0,0.0,0.0,0.0,0.0,0.0,15716.0
2021-04-12,0.0,0.0,0.0,0.0,0.0,0.0,28545.0
2021-04-13,0.0,0.0,0.0,0.0,0.0,0.0,17988.0
2021-04-14,0.0,0.0,0.0,0.0,0.0,0.0,8471.0
2021-04-15,0.0,0.0,0.0,0.0,0.0,0.0,11025.0
2021-04-16,0.0,0.0,0.0,0.0,0.0,0.0,20843.0
2021-04-17,0.0,0.0,0.0,0.0,0.0,0.0,23629.0
2021-04-18,0.0,0.0,0.0,0.0,0.0,0.0,19497.0
2021-04-19,0.0,0.0,0.0,0.0,0.0,0.0,11949.0
2021-04-20,0.0,0.0,0.0,0.0,0.0,0.0,7173.0
2021-04-21,0.0,0.0,0.0,0.0,0.0,0.0,31677.0
2021-04-22,0.0,0.0,0.0,0.0,0.0,0.0,50896.0
2021-04-23,0.0,0.0,0.0,0.0,0.0,0.0,43215.0
2021-04-24,0.0,0.0,0.0,0.0,0.0,0.0,39493.0
2021-04-25,0.0,0.0,0.0,0.0,0.0,0.0,31258.0
2021-04-26,0.0,0.0,0.0,0.0,0.0,0.0,14787.0
2021-04-27,0.0,0.0,0.0,0.0,0.0,0.0,4791.0
2021-04-28,0.0,0.0,0.0,0.0,0.0,0.0,3502.0
2021-04-29,0.0,0.0,0.0,0.0,0.0,0.0,12016.0
2021-04-30,0.0,0.0,0.0,0.0,0.0,0.0,10718.0
2021-05-01,0.0,0.0,0.0,0.0,0.0,0.0,5118.0
2021-05-02,0.0,0.0,0.0,0.0,0.0,0.0,2906.0
2021-05-03,0.0,0.0,0.0,0.0,0.0,0.0,5943.0
2021-05-04,0.0,0.0,0.0,0.0,0.0,0.0,30528.0
2021-05-05,0.0,0.0,0.0,0.0,0.0,0.0,45822.0
2021-05-06,0.0,0.0,0.0,0.0,0.0,0.0,27281.0
2021-05-07,0.0,0.0,0.0,0.0,0.0,0.0,6264.0
2021-05-08,0.0,0.0,0.0,0.0,0.0,0.0,12283.0
2021-05-09,0.0,0.0,0.0,0.0,0.0,0.0,22437.0
2021-05-10,0.0,0.0,0.0,0.0,0.0,0.0,19073.0
2021-05-11,0.0,0.0,0.0,0.0,0.0,0.0,13105.0
2021-05-12,0.0,0.0,0.0,0.0,0.0,0.0,23620.0
2021-05-13,0.0,0.0,0.0,0.0,0.0,0.0,10081.0
2021-05-14,0.0,0.0,0.0,0.0,0.0,0.0,10996.0
2021-05-15,0.0,0.0,0.0,0.0,0.0,0.0,11999.0
2021-05-16,0.0,0.0,0.0,0.0,0.0,0.0,8360.0
2021-05-17,0.0,0.0,0.0,0.0,0.0,0.0,10163.0
2021-05-18,0.0,0.0,0.0,0.0,0.0,0.0,7284.0
2021-05-19,0.0,0.0,0.0,0.0,0.0,0.0,11599.0
2021-05-20,0.0,0.0,0.0,0.0,0.0,0.0,14069.0
2021-05-21,0.0,0.0,0.0,0.0,0.0,0.0,9562.0
2021-05-22,0.0,0.0,0.0,0.0,0.0,0.0,7740.0
2021-05-23,0.0,0.0,0.0,0.0,0.0,0.0,16367.0
2021-05-24,0.0,0.0,0.0,0.0,0.0,0.0,11579.0
2021-05-25,0.0,0.0,0.0,0.0,0.0,0.0,31377.0
2021-05-26,0.0,0.0,0.0,0.0,0.0,0.0,36732.0
2021-05-27,0.0,0.0,0.0,0.0,0.0,0.0,30350.0
2021-05-28,0.0,0.0,0.0,0.0,0.0,0.0,11700.0
2021-05-29,0.0,0.0,0.0,0.0,0.0,0.0,7783.0
2021-05-30,0.0,0.0,0.0,0.0,0.0,0.0,4743.0
2021-05-31,0.0,0.0,0.0,0.0,0.0,0.0,9838.0
2021-06-01,0.0,0.0,0.0,0.0,0.0,0.0,16568.0
2021-06-02,0.0,0.0,0.0,0.0,0.0,0.0,19520.0
2021-06-03,0.0,0.0,0.0,0.0,0.0,0.0,10430.0
2021-06-04,0.0,0.0,0.0,0.0,0.0,0.0,4317.0
2021-06-05,0.0,0.0,0.0,0.0,0.0,0.0,3588.0
2021-06-06,0.0,0.0,0.0,0.0,0.0,0.0,5910.0
2021-06-07,0.0,0.0,0.0,0.0,0.0,0.0,5666.0
2021-06-08,0.0,0.0,0.0,0.0,0.0,0.0,5089.0
2021-06-09,0.0,0.0,0.0,0.0,0.0,0.0,8362.0
2021-06-10,0.0,0.0,0.0,0.0,0.0,0.0,9365.0
2021-06-11,0.0,0.0,0.0,0.0,0.0,0.0,21557.0
