,Hydro Water Reservoir,Nuclear,Other,Wind Onshore
2017-01-01,101339.0,218151.0,28141.0,62532.0
2017-01-02,196812.0,218100.0,35646.0,46791.0
2017-01-03,189850.0,218297.0,34820.0,58410.0
2017-01-04,180422.0,218709.0,35202.0,84489.0
2017-01-05,254182.0,218648.0,39288.0,43960.0
2017-01-06,225846.0,218899.0,37024.0,85609.0
2017-01-07,171903.0,219010.0,34470.0,78311.0
2017-01-08,162990.0,219092.0,33054.0,67856.0
2017-01-09,204071.0,218994.0,31523.0,68166.0
2017-01-10,187819.0,219000.0,33590.0,87332.0
2017-01-11,155459.0,219123.0,32504.0,121988.0
2017-01-12,186160.0,219296.0,34358.0,83419.0
2017-01-13,233929.0,216186.0,37175.0,24884.0
2017-01-14,185166.0,214570.0,35248.0,40393.0
2017-01-15,194255.0,219075.0,37104.0,69804.0
2017-01-16,259518.0,219084.0,44977.0,41677.0
2017-01-17,234954.0,219123.0,43253.0,65956.0
2017-01-18,217880.0,206321.0,36448.0,87645.0
2017-01-19,197178.0,205548.0,30976.0,104418.0
2017-01-20,204895.0,209838.0,33214.0,83185.0
2017-01-21,193076.0,216185.0,33880.0,48608.0
2017-01-22,188739.0,218891.0,35541.0,61047.0
2017-01-23,226280.0,218878.0,36717.0,70877.0
2017-01-24,255725.0,216851.0,35990.0,25073.0
2017-01-25,228753.0,217374.0,35401.0,72656.0
2017-01-26,224386.0,219007.0,36643.0,76176.0
2017-01-27,222047.0,218990.0,36895.0,41447.0
2017-01-28,185784.0,219114.0,36337.0,37448.0
2017-01-29,157390.0,212663.0,37077.0,62431.0
2017-01-30,220649.0,206288.0,36546.0,55525.0
2017-01-31,228604.0,206964.0,36635.0,24673.0
2017-02-01,218518.0,214828.0,36461.0,22268.0
2017-02-02,220448.0,217308.0,34851.0,25044.0
2017-02-03,232439.0,219271.0,34278.0,10862.0
2017-02-04,195079.0,219268.0,35410.0,15658.0
2017-02-05,173237.0,219284.0,37275.0,24369.0
2017-02-06,227259.0,219147.0,37942.0,34928.0
2017-02-07,235306.0,219039.0,41152.0,52453.0
2017-02-08,239826.0,219188.0,44820.0,56339.0
2017-02-09,251681.0,219301.0,44710.0,29590.0
2017-02-10,237136.0,219281.0,43537.0,32605.0
2017-02-11,183347.0,219167.0,39765.0,46567.0
2017-02-12,169929.0,219279.0,38560.0,57029.0
2017-02-13,206536.0,219338.0,42902.0,74917.0
2017-02-14,211114.0,219352.0,40462.0,40452.0
2017-02-15,230548.0,217009.0,39530.0,26339.0
2017-02-16,203780.0,219128.0,37533.0,44922.0
2017-02-17,210038.0,219305.0,36763.0,61112.0
2017-02-18,171590.0,219320.0,35112.0,59649.0
2017-02-19,117484.0,219277.0,33835.0,86135.0
2017-02-20,165206.0,219305.0,35332.0,66831.0
2017-02-21,175236.0,219054.0,34055.0,52569.0
2017-02-22,162531.0,219203.0,35679.0,82283.0
2017-02-23,190423.0,219180.0,35783.0,71057.0
2017-02-24,202570.0,219161.0,38964.0,88640.0
2017-02-25,182850.0,219167.0,37799.0,69761.0
2017-02-26,147696.0,219167.0,35353.0,32851.0
2017-02-27,199635.0,219055.0,34224.0,51958.0
2017-02-28,194061.0,219045.0,34523.0,53121.0
2017-03-01,213319.0,219079.0,35041.0,51087.0
2017-03-02,216184.0,219100.0,33956.0,22970.0
2017-03-03,216029.0,219036.0,35251.0,39568.0
2017-03-04,183252.0,219093.0,33991.0,33184.0
