,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Solar,Waste,Wind Offshore,Wind Onshore
2018-01-01,13588.0,6744.0,8162.0,924.0,289.0,3354.0,24156.0,39979.0
2018-01-02,15564.0,12615.0,18869.0,761.0,698.0,3874.0,14183.0,21259.0
2018-01-03,15405.0,9079.0,13323.0,675.0,200.0,3639.0,17065.0,33491.0
2018-01-04,16164.0,14158.0,21216.0,730.0,480.0,3845.0,7657.0,14318.0
2018-01-05,17967.0,14946.0,19754.0,770.0,343.0,4416.0,4653.0,4150.0
2018-01-06,17256.0,14042.0,16438.0,656.0,501.0,3984.0,6730.0,7638.0
2018-01-07,17957.0,12473.0,15777.0,556.0,971.0,3365.0,4126.0,10066.0
2018-01-08,17578.0,14090.0,24158.0,626.0,946.0,3730.0,5964.0,9250.0
2018-01-09,16794.0,12559.0,18801.0,670.0,836.0,2881.0,24870.0,50539.0
2018-01-10,19724.0,15807.0,29603.0,873.0,201.0,3906.0,11846.0,16747.0
2018-01-11,19360.0,16152.0,34889.0,1629.0,151.0,4489.0,5803.0,7304.0
2018-01-12,19120.0,15402.0,31859.0,645.0,150.0,3885.0,16013.0,19876.0
2018-01-13,18056.0,12476.0,21556.0,669.0,147.0,3015.0,21605.0,29040.0
2018-01-14,17785.0,10427.0,21734.0,712.0,262.0,2793.0,22782.0,33889.0
2018-01-15,17648.0,9354.0,21676.0,592.0,220.0,2310.0,26765.0,66336.0
2018-01-16,17440.0,11572.0,22238.0,740.0,411.0,2817.0,17984.0,29567.0
2018-01-17,17397.0,15001.0,23781.0,675.0,420.0,3808.0,12112.0,14484.0
2018-01-18,18897.0,14582.0,25709.0,594.0,62.0,3966.0,8230.0,7944.0
2018-01-19,19469.0,16273.0,30486.0,602.0,467.0,3849.0,2839.0,4250.0
2018-01-20,21104.0,14474.0,26447.0,483.0,285.0,3866.0,4449.0,8971.0
2018-01-21,20298.0,13535.0,23961.0,463.0,624.0,4109.0,2688.0,3072.0
2018-01-22,24349.0,15196.0,29851.0,630.0,212.0,4045.0,15515.0,16630.0
2018-01-23,21736.0,12472.0,24263.0,558.0,296.0,3605.0,16697.0,35076.0
2018-01-24,13439.0,8129.0,21057.0,430.0,186.0,3234.0,26376.0,67436.0
2018-01-25,13382.0,8914.0,23611.0,500.0,546.0,3579.0,19479.0,45386.0
2018-01-26,15306.0,14662.0,27837.0,619.0,474.0,4418.0,4822.0,9118.0
2018-01-27,16455.0,12340.0,18844.0,502.0,538.0,3992.0,14918.0,34962.0
2018-01-28,14321.0,5964.0,12849.0,477.0,668.0,2828.0,21933.0,58822.0
2018-01-29,15012.0,11333.0,16493.0,527.0,390.0,3623.0,25386.0,65717.0
