,Fossil Gas,Hydro Water Reservoir,Marine,Nuclear,Other,Solar,Wind Onshore
2022-01-01 00:00:00+01:00,0.0,824.0,0.0,5841.0,892.0,0.0,1062.0
2022-01-01 01:00:00+01:00,0.0,818.0,0.0,5842.0,851.0,0.0,999.0
2022-01-01 02:00:00+01:00,0.0,818.0,0.0,5839.0,858.0,0.0,958.0
2022-01-01 03:00:00+01:00,0.0,838.0,0.0,5839.0,859.0,0.0,888.0
2022-01-01 04:00:00+01:00,0.0,842.0,0.0,5840.0,856.0,0.0,788.0
2022-01-01 05:00:00+01:00,0.0,841.0,0.0,5839.0,880.0,0.0,734.0
2022-01-01 06:00:00+01:00,0.0,868.0,0.0,5839.0,913.0,0.0,646.0
2022-01-01 07:00:00+01:00,0.0,903.0,0.0,5840.0,987.0,0.0,564.0
2022-01-01 08:00:00+01:00,0.0,920.0,0.0,5840.0,1021.0,0.0,471.0
2022-01-01 09:00:00+01:00,0.0,926.0,0.0,5840.0,1028.0,1.0,397.0
2022-01-01 10:00:00+01:00,0.0,944.0,0.0,5840.0,1082.0,4.0,307.0
2022-01-01 11:00:00+01:00,0.0,953.0,0.0,5884.0,1107.0,7.0,252.0
2022-01-01 12:00:00+01:00,0.0,963.0,0.0,6062.0,1111.0,6.0,230.0
2022-01-01 13:00:00+01:00,0.0,965.0,0.0,6208.0,1113.0,4.0,221.0
2022-01-01 14:00:00+01:00,0.0,977.0,0.0,6275.0,1112.0,1.0,270.0
2022-01-01 15:00:00+01:00,0.0,1103.0,0.0,6275.0,1113.0,0.0,373.0
2022-01-01 16:00:00+01:00,0.0,1252.0,0.0,6329.0,1113.0,0.0,537.0
2022-01-01 17:00:00+01:00,0.0,1262.0,0.0,6344.0,1125.0,0.0,739.0
2022-01-01 18:00:00+01:00,0.0,1262.0,0.0,6344.0,1126.0,0.0,972.0
2022-01-01 19:00:00+01:00,0.0,1252.0,0.0,6349.0,1125.0,0.0,1173.0
2022-01-01 20:00:00+01:00,0.0,1227.0,0.0,6353.0,1123.0,0.0,1441.0
2022-01-01 21:00:00+01:00,0.0,1073.0,0.0,6354.0,1124.0,0.0,1686.0
2022-01-01 22:00:00+01:00,0.0,925.0,0.0,6354.0,1115.0,0.0,1847.0
2022-01-01 23:00:00+01:00,0.0,861.0,0.0,6356.0,1036.0,0.0,1917.0
2022-01-02 00:00:00+01:00,0.0,801.0,0.0,6359.0,944.0,0.0,1955.0
2022-01-02 01:00:00+01:00,0.0,782.0,0.0,6357.0,878.0,0.0,1834.0
2022-01-02 02:00:00+01:00,0.0,774.0,0.0,6359.0,828.0,0.0,1724.0
2022-01-02 03:00:00+01:00,0.0,782.0,0.0,6357.0,829.0,0.0,1611.0
2022-01-02 04:00:00+01:00,0.0,781.0,0.0,6359.0,838.0,0.0,1471.0
2022-01-02 05:00:00+01:00,0.0,782.0,0.0,6360.0,850.0,0.0,1402.0
2022-01-02 06:00:00+01:00,0.0,819.0,0.0,6361.0,854.0,0.0,1318.0
2022-01-02 07:00:00+01:00,0.0,860.0,0.0,6360.0,875.0,0.0,1268.0
2022-01-02 08:00:00+01:00,0.0,889.0,0.0,6361.0,913.0,0.0,1277.0
2022-01-02 09:00:00+01:00,0.0,920.0,0.0,6360.0,978.0,0.0,1282.0
2022-01-02 10:00:00+01:00,0.0,963.0,0.0,6359.0,1029.0,1.0,1274.0
2022-01-02 11:00:00+01:00,0.0,968.0,0.0,6359.0,1038.0,2.0,1239.0
2022-01-02 12:00:00+01:00,0.0,968.0,0.0,6359.0,1040.0,2.0,1229.0
2022-01-02 13:00:00+01:00,0.0,964.0,0.0,6360.0,1036.0,1.0,1204.0
2022-01-02 14:00:00+01:00,0.0,974.0,0.0,6387.0,1042.0,0.0,1165.0
2022-01-02 15:00:00+01:00,0.0,1065.0,0.0,6412.0,999.0,0.0,1113.0
2022-01-02 16:00:00+01:00,0.0,1072.0,0.0,6414.0,1046.0,0.0,1002.0
2022-01-02 17:00:00+01:00,0.0,1108.0,0.0,6413.0,1063.0,0.0,916.0
2022-01-02 18:00:00+01:00,0.0,1092.0,0.0,6414.0,1047.0,0.0,878.0
2022-01-02 19:00:00+01:00,0.0,1021.0,0.0,6414.0,1055.0,0.0,839.0
2022-01-02 20:00:00+01:00,0.0,881.0,0.0,6413.0,987.0,0.0,839.0
2022-01-02 21:00:00+01:00,0.0,837.0,0.0,6414.0,955.0,0.0,887.0
2022-01-02 22:00:00+01:00,0.0,810.0,0.0,6413.0,964.0,0.0,973.0
2022-01-02 23:00:00+01:00,0.0,784.0,0.0,6413.0,936.0,0.0,1030.0
2022-01-03 00:00:00+01:00,0.0,791.0,0.0,6411.0,918.0,0.0,1109.0
2022-01-03 01:00:00+01:00,0.0,791.0,0.0,6411.0,919.0,0.0,1170.0
2022-01-03 02:00:00+01:00,0.0,789.0,0.0,6411.0,936.0,0.0,1179.0
2022-01-03 03:00:00+01:00,0.0,789.0,0.0,6412.0,937.0,0.0,1195.0
2022-01-03 04:00:00+01:00,0.0,794.0,0.0,6412.0,960.0,0.0,1207.0
2022-01-03 05:00:00+01:00,0.0,735.0,0.0,6411.0,972.0,0.0,1147.0
2022-01-03 06:00:00+01:00,0.0,764.0,0.0,6412.0,1008.0,0.0,1136.0
2022-01-03 07:00:00+01:00,0.0,905.0,0.0,6412.0,1086.0,0.0,1187.0
2022-01-03 08:00:00+01:00,0.0,1157.0,0.0,6411.0,1090.0,0.0,1169.0
2022-01-03 09:00:00+01:00,0.0,1168.0,0.0,6409.0,1080.0,0.0,1201.0
2022-01-03 10:00:00+01:00,0.0,1042.0,0.0,6410.0,1063.0,1.0,1231.0
2022-01-03 11:00:00+01:00,0.0,1083.0,0.0,6411.0,1075.0,3.0,1272.0
2022-01-03 12:00:00+01:00,0.0,1086.0,0.0,6411.0,1067.0,3.0,1293.0
2022-01-03 13:00:00+01:00,0.0,1091.0,0.0,6411.0,1059.0,2.0,1377.0
2022-01-03 14:00:00+01:00,0.0,1178.0,0.0,6412.0,1064.0,0.0,1473.0
