,Forecasted Load,Actual Load
2023-01-01,239347.0,240265.0
2023-01-02,263382.0,262931.0
2023-01-03,282528.0,285512.0
2023-01-04,287673.0,301934.0
2023-01-05,295886.0,296426.0
2023-01-06,292033.0,284814.0
2023-01-07,264218.0,263028.0
2023-01-08,247359.0,248186.0
2023-01-09,268909.0,264933.0
2023-01-10,269926.0,260294.0
2023-01-11,265934.0,260621.0
2023-01-12,266986.0,263637.0
2023-01-13,259608.0,253858.0
2023-01-14,241029.0,233505.0
2023-01-15,244211.0,245393.0
2023-01-16,273126.0,270495.0
2023-01-17,277559.0,270786.0
2023-01-18,278693.0,275838.0
2023-01-19,288743.0,281905.0
2023-01-20,279919.0,279053.0
2023-01-21,263926.0,265754.0
2023-01-22,283863.0,279337.0
2023-01-23,301872.0,307973.0
2023-01-24,282324.0,278081.0
2023-01-25,261240.0,273382.0
2023-01-26,267063.0,269845.0
2023-01-27,282464.0,282734.0
2023-01-28,260870.0,255242.0
2023-01-29,252509.0,243547.0
2023-01-30,270650.0,262689.0
2023-01-31,280795.0,278828.0
2023-02-01,279532.0,278222.0
2023-02-02,291719.0,293414.0
2023-02-03,293771.0,291243.0
2023-02-04,283515.0,279756.0
2023-02-05,275421.0,278465.0
2023-02-06,290824.0,293167.0
2023-02-07,278419.0,280359.0
2023-02-08,271628.0,274804.0
2023-02-09,272645.0,278740.0
2023-02-10,109000.0,109516.0
