,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Solar,Waste,Wind Offshore,Wind Onshore
2017-01-01,16268.0,3689.0,16930.0,345.0,128.0,4536.0,17885.0,23411.0
2017-01-02,17877.0,10367.0,21657.0,400.0,701.0,4244.0,13225.0,12998.0
2017-01-03,16180.0,7994.0,16957.0,400.0,92.0,3730.0,24095.0,48799.0
2017-01-04,17438.0,6764.0,22869.0,425.0,422.0,3799.0,23708.0,54083.0
2017-01-05,20361.0,16778.0,40297.0,1000.0,535.0,4128.0,13584.0,15739.0
2017-01-06,23322.0,14643.0,30071.0,789.0,612.0,3727.0,12905.0,25530.0
2017-01-07,21956.0,10481.0,23079.0,691.0,142.0,3770.0,19423.0,29544.0
2017-01-08,20710.0,10086.0,26490.0,639.0,195.0,3817.0,3619.0,7199.0
2017-01-09,21877.0,7730.0,23812.0,360.0,131.0,4345.0,17159.0,30062.0
2017-01-10,22403.0,8625.0,25033.0,394.0,103.0,4575.0,22948.0,41329.0
2017-01-11,21900.0,6848.0,23262.0,410.0,144.0,4250.0,26790.0,64944.0
2017-01-12,21577.0,7494.0,23573.0,460.0,524.0,4079.0,25085.0,54341.0
2017-01-13,22517.0,11699.0,30175.0,599.0,568.0,4126.0,7072.0,8352.0
2017-01-14,22076.0,8660.0,26014.0,562.0,541.0,4153.0,17916.0,26670.0
2017-01-15,18908.0,9888.0,27791.0,611.0,836.0,3764.0,10138.0,8399.0
2017-01-16,25098.0,16120.0,36794.0,1014.0,1035.0,3833.0,3655.0,4676.0
2017-01-17,24583.0,15441.0,33757.0,783.0,373.0,3730.0,6084.0,10821.0
2017-01-18,22657.0,9571.0,26775.0,376.0,214.0,3522.0,17651.0,31622.0
2017-01-19,19830.0,7788.0,18595.0,471.0,492.0,3780.0,15877.0,25112.0
2017-01-20,19962.0,6042.0,18372.0,418.0,672.0,3555.0,14642.0,27559.0
2017-01-21,18792.0,5412.0,22177.0,394.0,451.0,4186.0,2931.0,7334.0
2017-01-22,20479.0,5727.0,21205.0,448.0,116.0,4332.0,1236.0,3293.0
2017-01-23,21826.0,7722.0,21162.0,350.0,596.0,4029.0,5211.0,7794.0
2017-01-24,23807.0,11042.0,27989.0,621.0,407.0,4234.0,7182.0,11568.0
2017-01-25,22224.0,7234.0,23754.0,625.0,171.0,3958.0,7009.0,17499.0
2017-01-26,22370.0,9993.0,27027.0,669.0,441.0,3475.0,7237.0,7816.0
2017-01-27,19905.0,10266.0,28623.0,572.0,1334.0,3557.0,13397.0,16413.0
2017-01-28,19222.0,8735.0,25598.0,360.0,1292.0,4338.0,9388.0,12961.0
2017-01-29,19217.0,7222.0,26576.0,396.0,234.0,4462.0,15559.0,18602.0
2017-01-30,19228.0,11353.0,25490.0,468.0,258.0,4369.0,9216.0,11326.0
2017-01-31,19467.0,12638.0,29384.0,475.0,209.0,4473.0,12011.0,15359.0
2017-02-01,20566.0,9664.0,26101.0,418.0,150.0,3740.0,15515.0,18925.0
2017-02-02,20907.0,9865.0,28449.0,2258.0,227.0,3590.0,22043.0,25781.0
2017-02-03,22152.0,9290.0,27297.0,3632.0,166.0,3732.0,16829.0,22844.0
2017-02-04,18960.0,6786.0,24762.0,3237.0,186.0,3731.0,10682.0,14819.0
2017-02-05,20719.0,6404.0,26601.0,3212.0,110.0,3579.0,11722.0,16266.0
2017-02-06,20061.0,8509.0,24244.0,3286.0,437.0,3318.0,20090.0,27307.0
2017-02-07,22793.0,8138.0,24635.0,3268.0,220.0,3216.0,26095.0,44615.0
2017-02-08,23582.0,8746.0,31015.0,3324.0,273.0,3064.0,20867.0,36858.0
2017-02-09,26415.0,14459.0,36578.0,3464.0,273.0,3621.0,11794.0,11435.0
2017-02-10,23490.0,8017.0,27146.0,3254.0,105.0,3312.0,21760.0,29515.0
2017-02-11,21528.0,7450.0,26642.0,3212.0,1281.0,3036.0,25155.0,45845.0
2017-02-12,22604.0,7489.0,27139.0,3225.0,610.0,3220.0,21133.0,32148.0
2017-02-13,24169.0,9611.0,31315.0,3280.0,1352.0,3317.0,4289.0,5684.0
2017-02-14,23916.0,10385.0,33067.0,3265.0,2068.0,3864.0,3320.0,5259.0
2017-02-15,23434.0,13766.0,38988.0,3280.0,2164.0,4033.0,3057.0,6010.0
2017-02-16,14556.0,8093.0,31868.0,3187.0,374.0,4796.0,18590.0,27481.0
2017-02-17,13991.0,7774.0,30731.0,3210.0,658.0,4531.0,7795.0,8772.0
2017-02-18,19134.0,7488.0,23886.0,3162.0,431.0,4100.0,12816.0,26722.0
2017-02-19,19555.0,5116.0,17396.0,3044.0,396.0,4599.0,22881.0,37080.0
