,Wind Onshore
2019-01-01,50957.0
2019-01-02,42990.0
2019-01-03,14523.0
2019-01-04,25715.0
2019-01-05,11452.0
2019-01-06,9344.0
2019-01-07,14004.0
2019-01-08,32308.0
2019-01-09,36377.0
2019-01-10,18208.0
2019-01-11,34659.0
2019-01-12,12159.0
2019-01-13,19115.0
2019-01-14,48018.0
2019-01-15,22440.0
2019-01-16,21440.0
2019-01-17,24225.0
2019-01-18,26323.0
2019-01-19,26473.0
2019-01-20,6843.0
2019-01-21,4204.0
2019-01-22,4627.0
2019-01-23,7265.0
2019-01-24,6491.0
2019-01-25,6677.0
2019-01-26,6221.0
2019-01-27,34122.0
2019-01-28,19954.0
2019-01-29,7060.0
2019-01-30,6163.0
2019-01-31,19423.0
2019-02-01,26198.0
2019-02-02,20731.0
2019-02-03,19945.0
2019-02-04,17532.0
2019-02-05,20543.0
2019-02-06,15380.0
2019-02-07,18319.0
2019-02-08,35075.0
2019-02-09,37444.0
2019-02-10,34951.0
2019-02-11,29175.0
2019-02-12,29039.0
2019-02-13,39741.0
2019-02-14,36211.0
2019-02-15,38013.0
2019-02-16,40750.0
2019-02-17,10140.0
2019-02-18,30763.0
2019-02-19,38263.0
2019-02-20,20349.0
2019-02-21,17320.0
2019-02-22,16674.0
2019-02-23,31235.0
2019-02-24,31749.0
2019-02-25,18680.0
2019-02-26,17848.0
2019-02-27,26088.0
2019-02-28,28774.0
2019-03-01,6021.0
2019-03-02,28877.0
2019-03-03,28133.0
2019-03-04,15030.0
2019-03-05,20965.0
2019-03-06,10160.0
2019-03-07,20438.0
2019-03-08,38379.0
2019-03-09,21604.0
2019-03-10,17249.0
2019-03-11,20043.0
2019-03-12,18555.0
2019-03-13,28150.0
2019-03-14,7330.0
2019-03-15,3033.0
2019-03-16,6451.0
2019-03-17,36281.0
2019-03-18,31628.0
2019-03-19,20026.0
2019-03-20,34141.0
2019-03-21,35440.0
2019-03-22,22668.0
2019-03-23,48870.0
2019-03-24,38304.0
2019-03-25,14921.0
2019-03-26,22055.0
2019-03-27,7332.0
2019-03-28,24399.0
2019-03-29,48885.0
2019-03-30,34190.0
2019-03-31,31385.0
2019-04-01,12410.0
2019-04-02,26847.0
2019-04-03,22141.0
2019-04-04,19590.0
2019-04-05,28317.0
2019-04-06,15301.0
2019-04-07,13394.0
2019-04-08,25161.0
2019-04-09,25658.0
2019-04-10,16919.0
2019-04-11,6000.0
2019-04-12,3570.0
2019-04-13,7524.0
2019-04-14,8547.0
2019-04-15,4753.0
2019-04-16,12122.0
2019-04-17,5861.0
2019-04-18,2897.0
2019-04-19,1866.0
2019-04-20,3735.0
2019-04-21,8855.0
2019-04-22,10349.0
2019-04-23,19838.0
2019-04-24,34082.0
2019-04-25,23098.0
2019-04-26,13723.0
2019-04-27,21314.0
2019-04-28,27596.0
2019-04-29,6623.0
2019-04-30,5328.0
2019-05-01,7444.0
2019-05-02,25145.0
2019-05-03,5486.0
2019-05-04,10106.0
2019-05-05,11162.0
2019-05-06,17045.0
2019-05-07,18629.0
2019-05-08,15257.0
2019-05-09,32275.0
