,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Solar,Waste,Wind Offshore,Wind Onshore
2022-01-01,15499.0,6521.0,14723.0,1084.0,266.0,4144.0,32730.0,28653.0
2022-01-02,13829.0,5484.0,11228.0,1093.0,132.0,4223.0,37601.0,35717.0
2022-01-03,16442.0,6132.0,13144.0,1000.0,372.0,4129.0,43425.0,61732.0
2022-01-04,20190.0,11281.0,22735.0,1178.0,1005.0,4132.0,32086.0,34949.0
2022-01-05,20304.0,9235.0,19376.0,1025.0,765.0,4276.0,44890.0,41177.0
2022-01-06,20453.0,13282.0,32262.0,1140.0,2018.0,4466.0,22672.0,15593.0
2022-01-07,20466.0,12004.0,28553.0,1200.0,639.0,4308.0,41073.0,43209.0
2022-01-08,21203.0,9272.0,27813.0,1092.0,1109.0,4299.0,37872.0,34751.0
2022-01-09,21204.0,9169.0,26545.0,1118.0,377.0,4310.0,34918.0,34695.0
2022-01-10,23141.0,14384.0,35669.0,1301.0,1031.0,4644.0,22693.0,18564.0
2022-01-11,21823.0,11626.0,34145.0,1252.0,422.0,4592.0,25708.0,28555.0
2022-01-12,19668.0,9449.0,23274.0,1247.0,648.0,4554.0,24995.0,36550.0
2022-01-13,11919.0,5352.0,10569.0,1040.0,827.0,3992.0,46775.0,69187.0
2022-01-14,14564.0,6350.0,15343.0,1024.0,2213.0,4065.0,37949.0,44595.0
2022-01-15,21391.0,12752.0,33576.0,1273.0,1433.0,4513.0,9854.0,16967.0
2022-01-16,16411.0,6217.0,15163.0,939.0,538.0,4006.0,39213.0,51165.0
2022-01-17,16542.0,5589.0,12950.0,886.0,2531.0,3589.0,43406.0,55366.0
2022-01-18,22111.0,12764.0,24891.0,1263.0,828.0,3943.0,27672.0,40766.0
2022-01-19,15292.0,5224.0,10889.0,1014.0,207.0,3401.0,46820.0,71255.0
2022-01-20,18282.0,6584.0,16498.0,1002.0,2093.0,3635.0,49088.0,70831.0
2022-01-21,16907.0,11524.0,21709.0,1135.0,1731.0,3676.0,40092.0,33240.0
2022-01-22,13734.0,12877.0,20653.0,1287.0,1013.0,4015.0,17946.0,22928.0
2022-01-23,17751.0,9325.0,23047.0,1240.0,748.0,4042.0,21963.0,26389.0
2022-01-24,18487.0,9025.0,21812.0,1163.0,307.0,4251.0,32097.0,41666.0
2022-01-25,9340.0,11915.0,23375.0,1192.0,1322.0,4510.0,30099.0,29963.0
2022-01-26,6496.0,6007.0,16875.0,952.0,685.0,4333.0,47186.0,64037.0
2022-01-27,9037.0,4424.0,7358.0,689.0,1775.0,3864.0,45145.0,64088.0
2022-01-28,11117.0,6704.0,10091.0,834.0,3019.0,3840.0,34550.0,37489.0
2022-01-29,10887.0,4756.0,12157.0,732.0,531.0,3667.0,37569.0,59951.0
2022-01-30,10828.0,5971.0,12258.0,740.0,3229.0,3518.0,31042.0,48488.0
2022-01-31,16186.0,12092.0,28309.0,1974.0,1182.0,3668.0,9417.0,6680.0
2022-02-01,19013.0,9789.0,22007.0,1197.0,780.0,3610.0,43254.0,60121.0
2022-02-02,19135.0,10363.0,23218.0,1228.0,2960.0,3726.0,36123.0,51191.0
2022-02-03,21226.0,13276.0,28728.0,1242.0,368.0,4116.0,31826.0,30602.0
2022-02-04,17369.0,7750.0,18938.0,1151.0,462.0,4320.0,38651.0,44747.0
2022-02-05,13049.0,3588.0,10146.0,821.0,2389.0,3875.0,48022.0,62853.0
2022-02-06,16288.0,4581.0,11570.0,987.0,1690.0,3904.0,41661.0,45582.0
2022-02-07,16099.0,5451.0,12045.0,1115.0,3490.0,4076.0,47097.0,63392.0
2022-02-08,12523.0,5362.0,15110.0,1005.0,2740.0,4085.0,43857.0,56409.0
2022-02-09,16736.0,6417.0,12702.0,1146.0,2228.0,3807.0,42177.0,50846.0
2022-02-10,16787.0,7531.0,19134.0,1676.0,2383.0,4195.0,32825.0,37708.0
2022-02-11,16970.0,11106.0,24715.0,1246.0,4265.0,4571.0,24656.0,28876.0
2022-02-12,13003.0,7494.0,16322.0,1001.0,2486.0,3920.0,40031.0,63414.0
2022-02-13,14277.0,4991.0,10991.0,898.0,1123.0,3811.0,43793.0,55150.0
2022-02-14,14500.0,6202.0,12829.0,1015.0,1164.0,4014.0,46408.0,70646.0
2022-02-15,14032.0,6922.0,12226.0,1105.0,3172.0,3580.0,43560.0,58399.0
2022-02-16,14214.0,5775.0,12870.0,1006.0,492.0,2904.0,42372.0,45453.0
2022-02-17,9147.0,5397.0,14074.0,998.0,2245.0,3045.0,45996.0,66068.0
2022-02-18,11539.0,6742.0,18660.0,927.0,653.0,3321.0,40939.0,49343.0
2022-02-19,12688.0,5085.0,11590.0,894.0,2791.0,3022.0,38183.0,64966.0
2022-02-20,15991.0,6644.0,14202.0,1210.0,1025.0,3398.0,39489.0,51282.0
2022-02-21,12763.0,6531.0,13828.0,1048.0,3284.0,3168.0,45817.0,70558.0
2022-02-22,14256.0,9055.0,16111.0,1262.0,2312.0,3439.0,32876.0,38857.0
2022-02-23,15131.0,5901.0,12203.0,874.0,3787.0,3060.0,45222.0,64699.0
2022-02-24,18087.0,5590.0,12355.0,736.0,1400.0,2726.0,36218.0,42040.0
2022-02-25,17800.0,4910.0,12224.0,700.0,4392.0,3118.0,42650.0,46564.0
2022-02-26,21744.0,11032.0,26671.0,1046.0,6978.0,3789.0,8864.0,8771.0
2022-02-27,21017.0,9573.0,23944.0,1144.0,7552.0,3446.0,15573.0,20444.0
2022-02-28,19819.0,8691.0,22548.0,1207.0,7843.0,3467.0,29385.0,35963.0
2022-03-01,23469.0,11198.0,30413.0,1208.0,2978.0,3792.0,18288.0,18044.0
2022-03-02,23608.0,11173.0,32615.0,1134.0,6381.0,3858.0,1610.0,3559.0
2022-03-03,23566.0,11091.0,32625.0,1084.0,6832.0,3674.0,3581.0,5785.0
2022-03-04,22595.0,11768.0,32630.0,1066.0,6654.0,4110.0,5276.0,8250.0
2022-03-05,21769.0,10701.0,34747.0,1065.0,5084.0,4094.0,4379.0,5421.0
2022-03-06,22209.0,9531.0,33808.0,1043.0,7090.0,4261.0,5129.0,5528.0
2022-03-07,23610.0,10925.0,33804.0,1118.0,7480.0,4164.0,4280.0,3816.0
2022-03-08,22818.0,10462.0,32862.0,1151.0,6470.0,3887.0,2779.0,3968.0
2022-03-09,22636.0,10297.0,32467.0,1164.0,6325.0,3791.0,10234.0,13678.0
2022-03-10,18218.0,6078.0,18046.0,882.0,6578.0,3314.0,36336.0,38634.0
2022-03-11,15432.0,3542.0,10618.0,832.0,8026.0,3053.0,40382.0,50378.0
2022-03-12,16301.0,4242.0,14861.0,845.0,7611.0,3182.0,36410.0,38127.0
2022-03-13,14931.0,4394.0,10987.0,921.0,7058.0,3263.0,40617.0,43153.0
2022-03-14,19491.0,8259.0,27601.0,949.0,6919.0,3627.0,20743.0,20037.0
2022-03-15,24275.0,9822.0,33714.0,977.0,4392.0,3708.0,3445.0,3624.0
2022-03-16,21329.0,7596.0,28694.0,1037.0,4379.0,3679.0,12616.0,13163.0
2022-03-17,16856.0,6332.0,20400.0,857.0,1083.0,3459.0,40395.0,60632.0
2022-03-18,22647.0,9684.0,29534.0,952.0,8314.0,3881.0,11662.0,20695.0
2022-03-19,14757.0,4781.0,14771.0,874.0,8925.0,3451.0,14396.0,9339.0
2022-03-20,8770.0,3510.0,7421.0,822.0,8296.0,3165.0,32103.0,38145.0
2022-03-21,12697.0,6838.0,24158.0,1249.0,7669.0,4040.0,29389.0,27587.0
2022-03-22,15192.0,8103.0,31377.0,1391.0,7926.0,4063.0,4208.0,3398.0
2022-03-23,15728.0,7700.0,30672.0,1459.0,8207.0,4052.0,1759.0,3860.0
2022-03-24,15569.0,8643.0,31469.0,1428.0,8560.0,4015.0,3497.0,7922.0
2022-03-25,13111.0,5400.0,23854.0,1333.0,8674.0,3845.0,20865.0,32533.0
2022-03-26,10115.0,5000.0,19069.0,1219.0,8607.0,3696.0,25589.0,26987.0
2022-03-27,13132.0,5137.0,24027.0,1063.0,7838.0,3624.0,17490.0,29593.0
2022-03-28,10310.0,4297.0,11401.0,815.0,5084.0,3828.0,37476.0,50049.0
2022-03-29,14825.0,9717.0,28387.0,799.0,7766.0,4157.0,20198.0,23037.0
2022-03-30,15409.0,8954.0,31217.0,977.0,6325.0,4339.0,15574.0,19614.0
2022-03-31,12332.0,7702.0,22553.0,719.0,8930.0,4145.0,28066.0,21266.0
2022-04-01,13099.0,5430.0,18735.0,723.0,8622.0,4263.0,30365.0,21623.0
2022-04-02,14482.0,5820.0,17719.0,742.0,9043.0,4014.0,11818.0,10945.0
2022-04-03,13302.0,5329.0,15855.0,739.0,6480.0,4153.0,25917.0,34125.0
2022-04-04,12379.0,3376.0,8671.0,657.0,2647.0,3848.0,48169.0,74108.0
2022-04-05,15628.0,5276.0,18243.0,640.0,7780.0,3914.0,33601.0,48576.0
2022-04-06,15035.0,4727.0,12398.0,653.0,2151.0,3799.0,33940.0,40848.0
2022-04-07,10463.0,3339.0,8312.0,614.0,3695.0,3589.0,37555.0,40375.0
2022-04-08,11558.0,3789.0,11256.0,668.0,7936.0,3548.0,44274.0,60098.0
2022-04-09,10198.0,3735.0,8404.0,572.0,8428.0,3526.0,43632.0,74194.0
2022-04-10,9281.0,3316.0,7416.0,467.0,8776.0,3307.0,44094.0,70447.0
2022-04-11,16469.0,8185.0,19956.0,847.0,9885.0,4197.0,15125.0,22647.0
2022-04-12,11696.0,6348.0,13268.0,790.0,7800.0,3938.0,20648.0,25178.0
2022-04-13,15522.0,7819.0,17740.0,986.0,6419.0,4250.0,27753.0,28298.0
2022-04-14,22336.0,7290.0,20529.0,988.0,2964.0,4411.0,16430.0,16412.0
2022-04-15,16024.0,6714.0,18373.0,995.0,2421.0,4531.0,17053.0,17410.0
2022-04-16,11468.0,6570.0,10383.0,967.0,10162.0,4145.0,2003.0,3259.0
2022-04-17,9648.0,5011.0,8462.0,888.0,11494.0,3525.0,2317.0,3969.0
2022-04-18,10798.0,4950.0,8404.0,891.0,11491.0,3869.0,5282.0,5111.0
2022-04-19,15872.0,5961.0,15462.0,825.0,11274.0,4199.0,5982.0,5639.0
2022-04-20,11416.0,7471.0,16476.0,877.0,11215.0,4187.0,8978.0,10964.0
2022-04-21,9485.0,5845.0,16820.0,874.0,12081.0,4230.0,18686.0,24788.0
2022-04-22,3688.0,4821.0,13455.0,806.0,11914.0,4041.0,33198.0,37599.0
2022-04-23,1879.0,3550.0,8733.0,603.0,12188.0,3788.0,23867.0,34741.0
2022-04-24,2221.0,3947.0,9500.0,719.0,8994.0,3726.0,31770.0,41790.0
2022-04-25,9312.0,6563.0,18973.0,1055.0,11541.0,3514.0,12087.0,11371.0
