,Wind Onshore
2017-01-01,3980.0
2017-01-02,1581.0
2017-01-03,2056.0
2017-01-04,3032.0
2017-01-05,3099.0
2017-01-06,10905.0
2017-01-07,10462.0
2017-01-08,10121.0
2017-01-09,7433.0
2017-01-10,2811.0
2017-01-11,10018.0
2017-01-12,6879.0
2017-01-13,1420.0
2017-01-14,3397.0
2017-01-15,5601.0
2017-01-16,5884.0
2017-01-17,9710.0
2017-01-18,10444.0
2017-01-19,11199.0
2017-01-20,10028.0
2017-01-21,6368.0
2017-01-22,5589.0
2017-01-23,3930.0
2017-01-24,3743.0
2017-01-25,10651.0
2017-01-26,8235.0
2017-01-27,7852.0
2017-01-28,5530.0
2017-01-29,9700.0
2017-01-30,9548.0
2017-01-31,5268.0
2017-02-01,4893.0
2017-02-02,1463.0
2017-02-03,29.0
2017-02-04,46.0
2017-02-05,676.0
2017-02-06,1049.0
2017-02-07,2388.0
2017-02-08,3356.0
2017-02-09,1020.0
2017-02-10,2534.0
2017-02-11,1301.0
2017-02-12,9966.0
2017-02-13,10491.0
2017-02-14,4474.0
2017-02-15,4306.0
2017-02-16,5307.0
2017-02-17,9810.0
2017-02-18,4997.0
2017-02-19,2372.0
2017-02-20,4250.0
2017-02-21,4295.0
2017-02-22,4212.0
2017-02-23,4550.0
2017-02-24,9038.0
2017-02-25,7886.0
2017-02-26,1987.0
2017-02-27,3222.0
2017-02-28,1773.0
2017-03-01,1953.0
2017-03-02,2039.0
2017-03-03,4437.0
2017-03-04,3794.0
2017-03-05,1743.0
2017-03-06,801.0
2017-03-07,3935.0
2017-03-08,2836.0
2017-03-09,1286.0
2017-03-10,3775.0
2017-03-11,6812.0
2017-03-12,4285.0
2017-03-13,2856.0
2017-03-14,6200.0
2017-03-15,9695.0
2017-03-16,9461.0
2017-03-17,4703.0
2017-03-18,6288.0
2017-03-19,4154.0
2017-03-20,10107.0
2017-03-21,5671.0
2017-03-22,2855.0
2017-03-23,9839.0
2017-03-24,5542.0
2017-03-25,6364.0
2017-03-26,10493.0
2017-03-27,6833.0
2017-03-28,8012.0
2017-03-29,4485.0
2017-03-30,2835.0
2017-03-31,2686.0
2017-04-01,2902.0
2017-04-02,1406.0
2017-04-03,6938.0
2017-04-04,6714.0
2017-04-05,4019.0
2017-04-06,3370.0
2017-04-07,2963.0
2017-04-08,2030.0
2017-04-09,3110.0
2017-04-10,2486.0
2017-04-11,6191.0
2017-04-12,924.0
2017-04-13,3075.0
2017-04-14,2361.0
2017-04-15,2634.0
2017-04-16,2067.0
2017-04-17,1066.0
2017-04-18,2852.0
2017-04-19,3732.0
2017-04-20,9361.0
2017-04-21,6542.0
2017-04-22,5419.0
2017-04-23,1447.0
2017-04-24,736.0
2017-04-25,1678.0
2017-04-26,7107.0
2017-04-27,6677.0
2017-04-28,1715.0
2017-04-29,2098.0
2017-04-30,5750.0
2017-05-01,9083.0
2017-05-02,9279.0
2017-05-03,2860.0
2017-05-04,4984.0
2017-05-05,8901.0
2017-05-06,3123.0
2017-05-07,3758.0
2017-05-08,4999.0
2017-05-09,2325.0
2017-05-10,2291.0
2017-05-11,1014.0
2017-05-12,789.0
2017-05-13,1008.0
2017-05-14,2076.0
2017-05-15,1515.0
2017-05-16,6871.0
2017-05-17,2421.0
2017-05-18,1857.0
2017-05-19,3276.0
2017-05-20,1871.0
2017-05-21,1681.0
2017-05-22,1349.0
2017-05-23,2653.0
2017-05-24,3619.0
2017-05-25,4004.0
2017-05-26,2690.0
2017-05-27,1932.0
2017-05-28,6076.0
2017-05-29,3723.0
2017-05-30,1590.0
2017-05-31,4396.0
2017-06-01,7794.0
2017-06-02,9071.0
2017-06-03,2543.0
2017-06-04,2091.0
2017-06-05,2108.0
2017-06-06,1759.0
2017-06-07,2073.0
2017-06-08,3782.0
2017-06-09,1021.0
2017-06-10,975.0
2017-06-11,1548.0
2017-06-12,2847.0
2017-06-13,3769.0
2017-06-14,1425.0
2017-06-15,2402.0
2017-06-16,772.0
2017-06-17,834.0
2017-06-18,4732.0
2017-06-19,4811.0
2017-06-20,2408.0
2017-06-21,3715.0
2017-06-22,4411.0
2017-06-23,944.0
2017-06-24,2793.0
2017-06-25,3975.0
2017-06-26,1537.0
2017-06-27,5641.0
2017-06-28,2406.0
2017-06-29,694.0
2017-06-30,1091.0
2017-07-01,2503.0
2017-07-02,4839.0
2017-07-03,1926.0
2017-07-04,6378.0
2017-07-05,9819.0
2017-07-06,5678.0
2017-07-07,1176.0
2017-07-08,2048.0
2017-07-09,2571.0
2017-07-10,3021.0
2017-07-11,1938.0
2017-07-12,642.0
2017-07-13,2243.0
2017-07-14,2600.0
2017-07-15,2974.0
2017-07-16,6693.0
2017-07-17,2752.0
2017-07-18,8015.0
