,Biomass,Fossil Gas,Fossil Hard coal,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Hydro Water Reservoir,Nuclear,Solar,Waste,Wind Onshore
,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated
2021-01-01,8746.0,105228.0,217.0,0.0,4949.0,5512.0,23999.0,113300.0,25601.0,0.0,1199568.0,12454.0,5962.0,30926.0
2021-01-02,8836.0,135875.0,201.0,0.0,4960.0,14044.0,11539.0,115913.0,36678.0,0.0,1219450.0,9349.0,6005.0,43431.0
2021-01-03,8377.0,110842.0,5453.0,5.0,4746.0,8561.0,27821.0,101212.0,25960.0,0.0,1162373.0,13018.0,5530.0,41723.0
2021-01-04,8801.0,176263.0,22610.0,0.0,6450.0,17244.0,11874.0,120864.0,62449.0,0.0,1228815.0,10114.0,5795.0,50208.0
2021-01-05,8772.0,193002.0,26795.0,0.0,7824.0,31087.0,4940.0,132694.0,86314.0,0.0,1228078.0,8698.0,5958.0,47367.0
2021-01-06,8835.0,199464.0,37474.0,0.0,5964.0,26469.0,10728.0,132485.0,88660.0,0.0,1236516.0,12620.0,5985.0,27658.0
2021-01-07,8712.0,206384.0,48542.0,0.0,6271.0,27105.0,10699.0,134257.0,101324.0,0.0,1240934.0,16491.0,6082.0,25622.0
2021-01-08,8884.0,210791.0,49668.0,0.0,9181.0,30302.0,10157.0,140159.0,109708.0,0.0,1240437.0,19612.0,6074.0,28893.0
2021-01-09,8837.0,198442.0,38993.0,0.0,4923.0,8226.0,11922.0,114174.0,66837.0,0.0,1237731.0,13675.0,5975.0,91990.0
2021-01-10,8827.0,183698.0,39486.0,0.0,4948.0,3440.0,15072.0,94244.0,48229.0,0.0,1237012.0,17998.0,5830.0,89717.0
2021-01-11,8851.0,201174.0,49728.0,0.0,6044.0,33226.0,8407.0,121143.0,97236.0,0.0,1241074.0,20585.0,5906.0,93824.0
2021-01-12,8778.0,194148.0,49372.0,0.0,8012.0,19504.0,8236.0,124109.0,95464.0,0.0,1221853.0,11168.0,5961.0,213690.0
2021-01-13,8809.0,191971.0,42502.0,0.0,4896.0,21025.0,8518.0,131882.0,93524.0,0.0,1198252.0,13516.0,5986.0,139221.0
2021-01-14,8732.0,172795.0,43219.0,0.0,4902.0,16422.0,15347.0,143312.0,84475.0,0.0,1219106.0,13378.0,5650.0,194841.0
2021-01-15,8864.0,169050.0,48172.0,0.0,5977.0,35595.0,12598.0,161667.0,106982.0,0.0,1226568.0,14737.0,5484.0,120708.0
2021-01-16,9167.0,177174.0,48355.0,0.0,4907.0,6896.0,6030.0,138108.0,70370.0,0.0,1186926.0,14505.0,5620.0,103258.0
2021-01-17,9577.0,154192.0,34392.0,0.0,4899.0,4125.0,23386.0,129252.0,43607.0,0.0,1194260.0,18021.0,5746.0,102320.0
2021-01-18,9436.0,183051.0,41922.0,0.0,5144.0,24406.0,8522.0,146188.0,84987.0,0.0,1204767.0,24011.0,5686.0,86034.0
2021-01-19,9349.0,152592.0,30832.0,0.0,4994.0,22271.0,9740.0,144050.0,91452.0,0.0,1152258.0,25136.0,5850.0,223472.0
2021-01-20,9608.0,115463.0,23887.0,0.0,4905.0,7194.0,14888.0,129071.0,61454.0,0.0,1163211.0,10970.0,5893.0,294580.0
2021-01-21,9678.0,88445.0,12096.0,0.0,4838.0,4571.0,17406.0,132570.0,68267.0,0.0,1133095.0,9096.0,5601.0,263305.0
2021-01-22,9403.0,141182.0,12307.0,0.0,4970.0,12973.0,17123.0,147756.0,76463.0,0.0,1160115.0,9990.0,5746.0,114353.0
2021-01-23,8726.0,85571.0,13032.0,0.0,4916.0,5046.0,19166.0,149943.0,79016.0,0.0,1192470.0,10944.0,5758.0,130254.0
2021-01-24,8862.0,71536.0,13529.0,0.0,4901.0,6183.0,22054.0,144838.0,72874.0,0.0,1215009.0,18831.0,5826.0,125791.0
2021-01-25,8831.0,161186.0,27755.0,0.0,5701.0,41596.0,2805.0,162353.0,103817.0,0.0,1186775.0,18159.0,6190.0,102317.0
2021-01-26,8966.0,182166.0,33220.0,0.0,8531.0,32638.0,4665.0,162510.0,105185.0,0.0,1186105.0,21086.0,6013.0,102023.0
2021-01-27,8982.0,169832.0,26532.0,0.0,4990.0,20114.0,14160.0,158718.0,104013.0,0.0,1198951.0,12768.0,6014.0,109353.0
2021-01-28,8231.0,162685.0,13985.0,0.0,4956.0,8725.0,6853.0,159443.0,85075.0,0.0,1160030.0,13422.0,6110.0,241505.0
2021-01-29,8246.0,78329.0,2351.0,0.0,4902.0,4222.0,22167.0,158251.0,89245.0,0.0,1110747.0,17493.0,5920.0,283794.0
2021-01-30,8223.0,79509.0,2136.0,0.0,4905.0,14262.0,18520.0,153816.0,89639.0,0.0,1092306.0,9633.0,5225.0,152505.0
2021-01-31,8215.0,75935.0,2240.0,0.0,4884.0,7632.0,25285.0,151026.0,74724.0,0.0,1128700.0,15555.0,5584.0,100248.0
2021-02-01,8181.0,148859.0,11137.0,0.0,5728.0,19153.0,14649.0,160873.0,91355.0,0.0,1168931.0,11282.0,5298.0,116340.0
2021-02-02,8257.0,121987.0,1877.0,0.0,6855.0,5765.0,17029.0,155712.0,77980.0,0.0,1159514.0,17236.0,5294.0,211062.0
2021-02-03,8193.0,84696.0,1258.0,0.0,5740.0,8281.0,25914.0,155548.0,76314.0,0.0,1149430.0,15459.0,5450.0,225088.0
2021-02-04,8290.0,144514.0,1518.0,0.0,6629.0,23173.0,16593.0,163118.0,86500.0,0.0,1180948.0,13246.0,5740.0,75241.0
2021-02-05,8253.0,154861.0,1919.0,0.0,5741.0,12006.0,6768.0,154978.0,79505.0,0.0,1183653.0,14166.0,6008.0,49111.0
2021-02-06,8256.0,73004.0,1923.0,0.0,5750.0,3728.0,21397.0,161782.0,92949.0,0.0,1125634.0,8863.0,5785.0,72057.0
2021-02-07,8299.0,69378.0,1662.0,0.0,5735.0,3630.0,35548.0,156994.0,78785.0,0.0,1093379.0,17078.0,5794.0,92554.0
2021-02-08,8266.0,164678.0,9126.0,0.0,13362.0,22752.0,14543.0,166089.0,106101.0,0.0,1129352.0,13974.0,5539.0,37063.0
2021-02-09,8182.0,180721.0,28082.0,0.0,17262.0,30021.0,6857.0,172849.0,107884.0,0.0,1152608.0,13325.0,5592.0,87226.0
2021-02-10,8001.0,185002.0,30332.0,0.0,5639.0,32646.0,11847.0,171379.0,97683.0,0.0,1141620.0,22401.0,5552.0,140945.0
2021-02-11,8164.0,200400.0,29393.0,0.0,9442.0,35641.0,9199.0,175081.0,104926.0,0.0,1149381.0,27114.0,5518.0,133039.0
2021-02-12,8085.0,193879.0,18170.0,0.0,5639.0,24053.0,12350.0,176949.0,100640.0,0.0,1140426.0,11561.0,5459.0,184560.0
2021-02-13,8054.0,182156.0,3132.0,0.0,6631.0,7711.0,7225.0,170609.0,95897.0,0.0,1097378.0,25000.0,5149.0,166613.0
2021-02-14,7929.0,121651.0,1277.0,0.0,5981.0,4898.0,19282.0,156640.0,84474.0,0.0,1077118.0,27668.0,5295.0,185747.0
2021-02-15,8053.0,171402.0,10787.0,0.0,5655.0,20621.0,15182.0,167660.0,104903.0,0.0,1066121.0,25902.0,6049.0,200967.0
2021-02-16,8158.0,172387.0,12818.0,0.0,7249.0,16321.0,6886.0,158544.0,86412.0,0.0,1071600.0,19137.0,5978.0,197851.0
2021-02-17,8193.0,144084.0,11744.0,0.0,5650.0,10816.0,14112.0,152481.0,72722.0,0.0,1062058.0,31759.0,5855.0,170023.0
2021-02-18,8070.0,143864.0,11777.0,0.0,5661.0,10945.0,11487.0,150103.0,76600.0,0.0,1053691.0,14345.0,5807.0,203467.0
2021-02-19,7840.0,141217.0,13763.0,0.0,5667.0,15823.0,14868.0,147767.0,66235.0,0.0,1043027.0,28275.0,6197.0,139861.0
2021-02-20,7844.0,65310.0,11843.0,0.0,5696.0,1457.0,28398.0,135912.0,36996.0,0.0,985299.0,30116.0,6341.0,248713.0
2021-02-21,7760.0,69336.0,12163.0,0.0,5665.0,8258.0,30096.0,124534.0,42478.0,0.0,966523.0,26998.0,6256.0,168028.0
2021-02-22,7434.0,137777.0,13115.0,0.0,5694.0,17886.0,6884.0,139682.0,73006.0,0.0,1020571.0,12064.0,5964.0,118957.0
2021-02-23,7708.0,94435.0,9941.0,0.0,5699.0,9360.0,17564.0,136670.0,54015.0,0.0,1006900.0,34232.0,6237.0,166144.0
2021-02-24,7867.0,69637.0,11333.0,0.0,5705.0,9939.0,25566.0,127983.0,51475.0,0.0,1016132.0,38409.0,6218.0,144315.0
2021-02-25,8196.0,110011.0,12389.0,0.0,5698.0,11088.0,12840.0,136888.0,63269.0,0.0,1035759.0,34199.0,6172.0,70569.0
2021-02-26,8299.0,145545.0,11882.0,0.0,5670.0,12927.0,5357.0,142134.0,58309.0,0.0,1035169.0,28730.0,6051.0,73669.0
2021-02-27,8908.0,79962.0,11525.0,0.0,5642.0,10081.0,16980.0,130234.0,42082.0,0.0,978876.0,41197.0,5819.0,155402.0
2021-02-28,8902.0,78673.0,12416.0,0.0,5606.0,7353.0,22874.0,124954.0,51575.0,0.0,936931.0,39999.0,5919.0,142762.0
2021-03-01,8630.0,150865.0,12446.0,0.0,4002.0,21584.0,478.0,142670.0,74144.0,0.0,941599.0,43012.0,5911.0,89779.0
2021-03-02,8384.0,172034.0,13273.0,0.0,4162.0,25784.0,710.0,140966.0,75959.0,0.0,961376.0,29920.0,5782.0,68423.0
2021-03-03,7927.0,173812.0,14070.0,0.0,4112.0,22158.0,148.0,144519.0,77130.0,0.0,993837.0,24977.0,5857.0,35618.0
2021-03-04,7919.0,175932.0,12282.0,0.0,4015.0,17140.0,1211.0,142014.0,72844.0,0.0,1020603.0,29448.0,5945.0,42335.0
2021-03-05,7914.0,175628.0,19593.0,0.0,4052.0,15042.0,5990.0,142959.0,69574.0,0.0,1013550.0,31943.0,5884.0,113410.0
2021-03-06,7931.0,86678.0,12860.0,0.0,4050.0,8211.0,17236.0,126458.0,51599.0,0.0,1020478.0,34775.0,5862.0,116455.0
2021-03-07,7898.0,98830.0,13411.0,0.0,4047.0,5615.0,12216.0,118336.0,45990.0,0.0,1040963.0,27086.0,5735.0,50241.0
2021-03-08,7918.0,154242.0,21309.0,0.0,4445.0,24675.0,3599.0,137344.0,82846.0,0.0,1047173.0,36469.0,5522.0,57849.0
2021-03-09,7920.0,162173.0,20781.0,0.0,6641.0,23696.0,15.0,136255.0,84884.0,0.0,1042828.0,42401.0,5622.0,49961.0
2021-03-10,7936.0,149618.0,4865.0,0.0,4754.0,12035.0,5074.0,126016.0,64595.0,0.0,1045891.0,41012.0,5737.0,166714.0
2021-03-11,7864.0,70903.0,1627.0,0.0,3875.0,9202.0,17104.0,104797.0,35539.0,0.0,1030277.0,24762.0,5801.0,311774.0
2021-03-12,7939.0,69037.0,1873.0,0.0,3873.0,14618.0,25522.0,109504.0,31101.0,0.0,1039944.0,32604.0,6053.0,269345.0
2021-03-13,7929.0,60497.0,1767.0,0.0,4075.0,2919.0,31201.0,107636.0,25017.0,0.0,985550.0,30896.0,6028.0,310513.0
2021-03-14,7960.0,60547.0,3329.0,0.0,4145.0,6855.0,37652.0,103902.0,26395.0,0.0,1012529.0,37525.0,5801.0,224410.0
2021-03-15,7663.0,78042.0,14130.0,0.0,4556.0,21947.0,18363.0,125600.0,54847.0,0.0,1065880.0,25874.0,5739.0,193317.0
2021-03-16,7781.0,139870.0,13563.0,0.0,4764.0,18739.0,7136.0,136564.0,61148.0,0.0,1072499.0,33533.0,6028.0,101026.0
2021-03-17,7923.0,147776.0,13716.0,0.0,3982.0,20051.0,8844.0,136625.0,61919.0,0.0,1069610.0,35302.0,5977.0,182991.0
2021-03-18,7894.0,146923.0,13522.0,0.0,6033.0,31905.0,74.0,146327.0,77258.0,0.0,1082874.0,30436.0,6085.0,82561.0
2021-03-19,7905.0,127806.0,13964.0,0.0,3997.0,21968.0,8769.0,137945.0,64242.0,0.0,1081854.0,29857.0,6147.0,171202.0
