,Wind Onshore
2020-09-22,27598.0
2020-09-23,21403.0
2020-09-24,32568.0
2020-09-25,24958.0
2020-09-26,37640.0
2020-09-27,37726.0
2020-09-28,17871.0
2020-09-29,5322.0
2020-09-30,6920.0
2020-10-01,23049.0
2020-10-02,37209.0
2020-10-03,44157.0
2020-10-04,48994.0
2020-10-05,16842.0
2020-10-06,21085.0
2020-10-07,14941.0
2020-10-08,20331.0
2020-10-09,34365.0
2020-10-10,12417.0
2020-10-11,12998.0
2020-10-12,10372.0
2020-10-13,11815.0
2020-10-14,31388.0
2020-10-15,21925.0
2020-10-16,13384.0
2020-10-17,17812.0
2020-10-18,38908.0
2020-10-19,22544.0
2020-10-20,20009.0
2020-10-21,16637.0
2020-10-22,28577.0
2020-10-23,18729.0
2020-10-24,14082.0
2020-10-25,38327.0
2020-10-26,13138.0
2020-10-27,25871.0
2020-10-28,37146.0
2020-10-29,15883.0
2020-10-30,5609.0
2020-10-31,16019.0
2020-11-01,39516.0
2020-11-02,56230.0
2020-11-03,40818.0
2020-11-04,33931.0
2020-11-05,50835.0
2020-11-06,29176.0
2020-11-07,31435.0
2020-11-08,5437.0
2020-11-09,3398.0
2020-11-10,5493.0
2020-11-11,7379.0
2020-11-12,7138.0
2020-11-13,9254.0
2020-11-14,16288.0
2020-11-15,28418.0
2020-11-16,36704.0
2020-11-17,43116.0
2020-11-18,54437.0
2020-11-19,55269.0
2020-11-20,33727.0
2020-11-21,54353.0
2020-11-22,59049.0
2020-11-23,44647.0
2020-11-24,34975.0
2020-11-25,44640.0
2020-11-26,18359.0
2020-11-27,6876.0
2020-11-28,2609.0
2020-11-29,1937.0
2020-11-30,18142.0
2020-12-01,7405.0
2020-12-02,15562.0
2020-12-03,30830.0
2020-12-04,19278.0
2020-12-05,13371.0
2020-12-06,14954.0
2020-12-07,34380.0
2020-12-08,22548.0
2020-12-09,14824.0
2020-12-10,17697.0
2020-12-11,18375.0
2020-12-12,13356.0
2020-12-13,5695.0
2020-12-14,18365.0
2020-12-15,21294.0
2020-12-16,20793.0
2020-12-17,18437.0
2020-12-18,26702.0
2020-12-19,30000.0
2020-12-20,29672.0
2020-12-21,26964.0
2020-12-22,27666.0
2020-12-23,29784.0
2020-12-24,29161.0
2020-12-25,28193.0
2020-12-26,20952.0
2020-12-27,59342.0
2020-12-28,43240.0
2020-12-29,27345.0
2020-12-30,13307.0
2020-12-31,8806.0
