,Biomass,Fossil Gas,Fossil Hard coal,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Hydro Water Reservoir,Nuclear,Solar,Waste,Wind Onshore
,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated
2017-01-19,8126.0,220380.0,65062.0,0.0,62962.0,37606.0,4377.0,112502.0,0.0,98143.0,0.0,1333057.0,17226.0,6861.0,72251.0
2017-01-20,9373.0,219266.0,61267.0,0.0,57761.0,27056.0,1976.0,115775.0,0.0,96895.0,0.0,1333432.0,16540.0,6832.0,47990.0
2017-01-21,8405.0,205331.0,58536.0,0.0,12277.0,8442.0,13958.0,91700.0,0.0,76597.0,0.0,1322915.0,16820.0,6880.0,33076.0
2017-01-22,8644.0,164366.0,53373.0,0.0,9019.0,2917.0,26459.0,79005.0,0.0,65808.0,0.0,1327601.0,9914.0,6490.0,29273.0
2017-01-23,9250.0,197597.0,62353.0,0.0,34953.0,33817.0,7932.0,98842.0,0.0,87631.0,0.0,1346110.0,14292.0,6599.0,34501.0
2017-01-24,8373.0,211952.0,54738.0,0.0,63265.0,32166.0,8394.0,101148.0,0.0,92590.0,0.0,1352249.0,16857.0,6716.0,31845.0
2017-01-25,7179.0,213460.0,61395.0,0.0,66576.0,30114.0,12070.0,105623.0,0.0,93233.0,0.0,1354817.0,11307.0,6698.0,33224.0
2017-01-26,7640.0,215843.0,64233.0,0.0,60496.0,17741.0,12171.0,100500.0,0.0,86823.0,0.0,1333795.0,15611.0,6860.0,74213.0
2017-01-27,8476.0,180682.0,57282.0,0.0,24632.0,16764.0,9145.0,86241.0,0.0,62632.0,0.0,1312909.0,7028.0,6628.0,126457.0
2017-01-28,7769.0,151443.0,45446.0,0.0,7204.0,4280.0,23305.0,69647.0,0.0,29608.0,0.0,1305894.0,9457.0,6619.0,80121.0
2017-01-29,7917.0,144449.0,45391.0,0.0,5580.0,731.0,42714.0,61146.0,0.0,15921.0,0.0,1312236.0,14619.0,6696.0,80560.0
2017-01-30,8455.0,176425.0,57060.0,0.0,9075.0,23921.0,15933.0,72046.0,0.0,35111.0,0.0,1330437.0,8066.0,6723.0,77107.0
2017-01-31,7179.0,177960.0,39882.0,0.0,9890.0,11424.0,19108.0,85585.0,0.0,35715.0,0.0,1241576.0,11336.0,7175.0,32291.0
2017-02-01,6685.0,159826.0,41297.0,0.0,8782.0,20859.0,10101.0,108794.0,0.0,36149.0,0.0,1301794.0,11059.0,6233.0,66969.0
2017-02-02,6677.0,139699.0,42065.0,0.0,6980.0,10120.0,23396.0,107297.0,0.0,25867.0,0.0,1322533.0,9331.0,5967.0,138701.0
2017-02-03,7044.0,129480.0,41955.0,0.0,6983.0,17430.0,14315.0,115932.0,0.0,34688.0,0.0,1273797.0,10092.0,5844.0,136897.0
