timestamp,Actual Load,country
2022-01-01 00:00:00+01:00,87849.0,DK
2022-01-02 00:00:00+01:00,92512.0,DK
2022-01-03 00:00:00+01:00,107847.0,DK
2022-01-04 00:00:00+01:00,111505.0,DK
2022-01-05 00:00:00+01:00,117087.0,DK
2022-01-06 00:00:00+01:00,117944.0,DK
2022-01-07 00:00:00+01:00,116217.0,DK
2022-01-08 00:00:00+01:00,103355.0,DK
2022-01-09 00:00:00+01:00,104453.0,DK
2022-01-10 00:00:00+01:00,113618.0,DK
2022-01-11 00:00:00+01:00,116540.0,DK
2022-01-12 00:00:00+01:00,114034.0,DK
2022-01-13 00:00:00+01:00,114105.0,DK
2022-01-14 00:00:00+01:00,110975.0,DK
2022-01-15 00:00:00+01:00,100396.0,DK
2022-01-16 00:00:00+01:00,99915.0,DK
2022-01-17 00:00:00+01:00,115167.0,DK
2022-01-18 00:00:00+01:00,110654.0,DK
2022-01-19 00:00:00+01:00,116914.0,DK
2022-01-20 00:00:00+01:00,120887.0,DK
2022-01-21 00:00:00+01:00,115061.0,DK
2022-01-22 00:00:00+01:00,102840.0,DK
2022-01-23 00:00:00+01:00,94189.0,DK
2022-01-24 00:00:00+01:00,107634.0,DK
2022-01-25 00:00:00+01:00,105559.0,DK
2022-01-26 00:00:00+01:00,112006.0,DK
2022-01-27 00:00:00+01:00,116122.0,DK
2022-01-28 00:00:00+01:00,111240.0,DK
2022-01-29 00:00:00+01:00,101402.0,DK
2022-01-30 00:00:00+01:00,98974.0,DK
2022-01-31 00:00:00+01:00,109665.0,DK
2022-02-01 00:00:00+01:00,114309.0,DK
2022-02-02 00:00:00+01:00,115128.0,DK
2022-02-03 00:00:00+01:00,110938.0,DK
2022-02-04 00:00:00+01:00,108733.0,DK
2022-02-05 00:00:00+01:00,104745.0,DK
2022-02-06 00:00:00+01:00,99756.0,DK
2022-02-07 00:00:00+01:00,115539.0,DK
2022-02-08 00:00:00+01:00,113340.0,DK
2022-02-09 00:00:00+01:00,111987.0,DK
2022-02-10 00:00:00+01:00,110256.0,DK
2022-02-11 00:00:00+01:00,111169.0,DK
2022-02-12 00:00:00+01:00,102634.0,DK
2022-02-13 00:00:00+01:00,102776.0,DK
2022-02-14 00:00:00+01:00,111376.0,DK
2022-02-15 00:00:00+01:00,111599.0,DK
2022-02-16 00:00:00+01:00,115325.0,DK
2022-02-17 00:00:00+01:00,112672.0,DK
2022-02-18 00:00:00+01:00,112814.0,DK
2022-02-19 00:00:00+01:00,103158.0,DK
2022-02-20 00:00:00+01:00,100566.0,DK
2022-02-21 00:00:00+01:00,113967.0,DK
2022-02-22 00:00:00+01:00,114197.0,DK
2022-02-23 00:00:00+01:00,113220.0,DK
2022-02-24 00:00:00+01:00,114651.0,DK
2022-02-25 00:00:00+01:00,113619.0,DK
2022-02-26 00:00:00+01:00,97237.0,DK
2022-02-27 00:00:00+01:00,96890.0,DK
2022-02-28 00:00:00+01:00,110448.0,DK
2022-03-01 00:00:00+01:00,110736.0,DK
2022-03-02 00:00:00+01:00,108944.0,DK
2022-03-03 00:00:00+01:00,107488.0,DK
2022-03-04 00:00:00+01:00,105238.0,DK
2022-03-05 00:00:00+01:00,96541.0,DK
2022-03-06 00:00:00+01:00,93319.0,DK
2022-03-07 00:00:00+01:00,104768.0,DK
2022-03-08 00:00:00+01:00,106511.0,DK
2022-03-09 00:00:00+01:00,108090.0,DK
2022-03-10 00:00:00+01:00,109182.0,DK
2022-03-11 00:00:00+01:00,108986.0,DK
2022-03-12 00:00:00+01:00,94413.0,DK
2022-03-13 00:00:00+01:00,91054.0,DK
2022-03-14 00:00:00+01:00,102892.0,DK
2022-03-15 00:00:00+01:00,104159.0,DK
2022-03-16 00:00:00+01:00,106349.0,DK
2022-03-17 00:00:00+01:00,108501.0,DK
2022-03-18 00:00:00+01:00,100078.0,DK
2022-03-19 00:00:00+01:00,91751.0,DK
2022-03-20 00:00:00+01:00,92643.0,DK
2022-03-21 00:00:00+01:00,101321.0,DK
2022-03-22 00:00:00+01:00,101992.0,DK
2022-03-23 00:00:00+01:00,101391.0,DK
2022-03-24 00:00:00+01:00,99775.0,DK
2022-03-25 00:00:00+01:00,93546.0,DK
2022-03-26 00:00:00+01:00,85370.0,DK
2022-03-27 00:00:00+01:00,80329.0,DK
2022-03-28 00:00:00+02:00,96300.0,DK
2022-03-29 00:00:00+02:00,100020.0,DK
2022-03-30 00:00:00+02:00,104426.0,DK
2022-03-31 00:00:00+02:00,105426.0,DK
2022-04-01 00:00:00+02:00,102359.0,DK
2022-04-02 00:00:00+02:00,92168.0,DK
2022-04-03 00:00:00+02:00,91011.0,DK
2022-04-04 00:00:00+02:00,109142.0,DK
2022-04-05 00:00:00+02:00,104660.0,DK
2022-04-06 00:00:00+02:00,107567.0,DK
2022-04-07 00:00:00+02:00,107726.0,DK
2022-04-08 00:00:00+02:00,105475.0,DK
2022-04-09 00:00:00+02:00,93632.0,DK
2022-04-10 00:00:00+02:00,91924.0,DK
2022-04-11 00:00:00+02:00,98700.0,DK
2022-04-12 00:00:00+02:00,101006.0,DK
2022-04-13 00:00:00+02:00,97333.0,DK
2022-04-14 00:00:00+02:00,86432.0,DK
2022-04-15 00:00:00+02:00,86394.0,DK
2022-04-16 00:00:00+02:00,84779.0,DK
2022-04-17 00:00:00+02:00,81964.0,DK
2022-04-18 00:00:00+02:00,81970.0,DK
2022-04-19 00:00:00+02:00,92036.0,DK
2022-04-20 00:00:00+02:00,92447.0,DK
2022-04-21 00:00:00+02:00,93079.0,DK
