Country,Timestamp,Wind Onshore
SE,2019-07-05,4063.0
SE,2019-07-06,7031.0
SE,2019-07-07,5675.0
SE,2019-07-08,10994.0
SE,2019-07-09,4418.0
SE,2019-07-10,3645.0
SE,2019-07-11,765.0
SE,2019-07-12,2281.0
SE,2019-07-13,2113.0
SE,2019-07-14,1345.0
SE,2019-07-15,2013.0
SE,2019-07-16,1055.0
SE,2019-07-17,654.0
SE,2019-07-18,673.0
SE,2019-07-19,1202.0
SE,2019-07-20,3487.0
SE,2019-07-21,5509.0
SE,2019-07-22,5368.0
SE,2019-07-23,3208.0
SE,2019-07-24,2342.0
SE,2019-07-25,2704.0
SE,2019-07-26,3760.0
SE,2019-07-27,2176.0
SE,2019-07-28,5156.0
SE,2019-07-29,7559.0
SE,2019-07-30,12064.0
SE,2019-07-31,6251.0
SE,2019-08-01,1783.0
SE,2019-08-02,3302.0
SE,2019-08-03,1150.0
SE,2019-08-04,1232.0
SE,2019-08-05,1614.0
SE,2019-08-06,1692.0
SE,2019-08-07,1459.0
SE,2019-08-08,1656.0
SE,2019-08-09,1098.0
SE,2019-08-10,5546.0
SE,2019-08-11,4959.0
SE,2019-08-12,2762.0
SE,2019-08-13,1081.0
SE,2019-08-14,439.0
SE,2019-08-15,2578.0
SE,2019-08-16,3940.0
SE,2019-08-17,8866.0
SE,2019-08-18,14422.0
SE,2019-08-19,9845.0
SE,2019-08-20,5705.0
SE,2019-08-21,4164.0
SE,2019-08-22,3486.0
SE,2019-08-23,2592.0
SE,2019-08-24,4488.0
SE,2019-08-25,9639.0
SE,2019-08-26,9823.0
SE,2019-08-27,6127.0
SE,2019-08-28,3297.0
SE,2019-08-29,11989.0
SE,2019-08-30,8697.0
SE,2019-08-31,6070.0
SE,2019-09-01,11354.0
SE,2019-09-02,7235.0
SE,2019-09-03,7787.0
SE,2019-09-04,5872.0
SE,2019-09-05,8502.0
SE,2019-09-06,13397.0
SE,2019-09-07,2253.0
SE,2019-09-08,2173.0
SE,2019-09-09,3236.0
SE,2019-09-10,3764.0
SE,2019-09-11,7239.0
SE,2019-09-12,9502.0
SE,2019-09-13,10143.0
SE,2019-09-14,4691.0
SE,2019-09-15,10053.0
SE,2019-09-16,7023.0
SE,2019-09-17,4421.0
SE,2019-09-18,2473.0
SE,2019-09-19,9448.0
SE,2019-09-20,5653.0
SE,2019-09-21,5136.0
SE,2019-09-22,8276.0
SE,2019-09-23,1828.0
SE,2019-09-24,757.0
SE,2019-09-25,6405.0
SE,2019-09-26,3003.0
SE,2019-09-27,2516.0
SE,2019-09-28,8387.0
SE,2019-09-29,6090.0
SE,2019-09-30,5260.0
SE,2019-10-01,17868.0
SE,2019-10-02,16788.0
SE,2019-10-03,6458.0
SE,2019-10-04,5842.0
SE,2019-10-05,8371.0
SE,2019-10-06,9421.0
SE,2019-10-07,7073.0
SE,2019-10-08,4064.0
SE,2019-10-09,4356.0
SE,2019-10-10,898.0
SE,2019-10-11,1599.0
SE,2019-10-12,2587.0
SE,2019-10-13,1998.0
SE,2019-10-14,3801.0
SE,2019-10-15,1502.0
SE,2019-10-16,624.0
SE,2019-10-17,1630.0
SE,2019-10-18,2023.0
SE,2019-10-19,10289.0
SE,2019-10-20,5540.0
SE,2019-10-21,7059.0
SE,2019-10-22,16922.0
SE,2019-10-23,12199.0
SE,2019-10-24,1876.0
SE,2019-10-25,5580.0
SE,2019-10-26,13523.0
SE,2019-10-27,1877.0
SE,2019-10-28,6032.0
SE,2019-10-29,9560.0
SE,2019-10-30,9085.0
SE,2019-10-31,9493.0
SE,2019-11-01,5366.0
SE,2019-11-02,6833.0
SE,2019-11-03,14197.0
SE,2019-11-04,5712.0
SE,2019-11-05,5721.0
SE,2019-11-06,1477.0
SE,2019-11-07,712.0
SE,2019-11-08,604.0
SE,2019-11-09,7276.0
SE,2019-11-10,15895.0
SE,2019-11-11,8167.0
SE,2019-11-12,4101.0
SE,2019-11-13,5982.0
SE,2019-11-14,1839.0
SE,2019-11-15,4657.0
SE,2019-11-16,1532.0
SE,2019-11-17,3470.0
SE,2019-11-18,702.0
SE,2019-11-19,6264.0
SE,2019-11-20,7911.0
SE,2019-11-21,9285.0
SE,2019-11-22,4218.0
SE,2019-11-23,6577.0
SE,2019-11-24,5514.0
SE,2019-11-25,1711.0
SE,2019-11-26,6315.0
SE,2019-11-27,4338.0
SE,2019-11-28,7476.0
SE,2019-11-29,14510.0
