Country,Timestamp,Hydro Water Reservoir,Nuclear,Other,Wind Onshore
SE,2019-04-03,200130.0,170068.0,30848.0,64772.0
SE,2019-04-04,192449.0,170086.0,30363.0,55216.0
SE,2019-04-05,197583.0,168027.0,31683.0,65753.0
SE,2019-04-06,165431.0,174531.0,30293.0,41620.0
SE,2019-04-07,160801.0,179743.0,29255.0,49512.0
SE,2019-04-08,186010.0,181036.0,35941.0,87995.0
SE,2019-04-09,185186.0,181418.0,37721.0,84435.0
SE,2019-04-10,196873.0,181642.0,38596.0,53407.0
SE,2019-04-11,205852.0,181675.0,38403.0,19164.0
SE,2019-04-12,204208.0,181649.0,36982.0,12650.0
SE,2019-04-13,173998.0,181426.0,36750.0,19778.0
SE,2019-04-14,154505.0,181212.0,29691.0,26167.0
SE,2019-04-15,193109.0,180838.0,24669.0,15813.0
SE,2019-04-16,188367.0,180502.0,31206.0,26803.0
SE,2019-04-17,192375.0,179861.0,29312.0,16694.0
SE,2019-04-18,182588.0,179156.0,25695.0,18666.0
SE,2019-04-19,170360.0,178200.0,23418.0,25599.0
SE,2019-04-20,166815.0,178012.0,22568.0,21914.0
SE,2019-04-21,140130.0,177009.0,22314.0,34993.0
SE,2019-04-22,143716.0,163680.0,22502.0,34674.0
SE,2019-04-23,157600.0,154644.0,22569.0,66021.0
SE,2019-04-24,168683.0,154349.0,20925.0,74458.0
SE,2019-04-25,189930.0,158593.0,20877.0,48125.0
SE,2019-04-26,214915.0,162928.0,19279.0,26884.0
SE,2019-04-27,177141.0,164192.0,18386.0,41917.0
SE,2019-04-28,174804.0,167870.0,18234.0,47230.0
SE,2019-04-29,213735.0,172787.0,20886.0,25862.0
SE,2019-04-30,194051.0,167777.0,20264.0,20735.0
SE,2019-05-01,172807.0,154585.0,20270.0,39711.0
SE,2019-05-02,178015.0,154956.0,22537.0,88643.0
SE,2019-05-03,196623.0,155703.0,21912.0,52671.0
SE,2019-05-04,185020.0,155567.0,23719.0,33506.0
SE,2019-05-05,161343.0,155668.0,24080.0,27853.0
SE,2019-05-06,183142.0,155491.0,24129.0,43269.0
SE,2019-05-07,183613.0,154553.0,23601.0,52703.0
SE,2019-05-08,178970.0,155513.0,23886.0,46530.0
SE,2019-05-09,171043.0,155440.0,23673.0,77952.0
SE,2019-05-10,190288.0,155520.0,21859.0,35049.0
SE,2019-05-11,174595.0,155439.0,21062.0,22222.0
SE,2019-05-12,115206.0,154925.0,18987.0,88375.0
SE,2019-05-13,185903.0,154619.0,19026.0,59486.0
SE,2019-05-14,191148.0,154199.0,17879.0,27795.0
SE,2019-05-15,186740.0,153983.0,17021.0,15343.0
SE,2019-05-16,181188.0,148541.0,18266.0,39926.0
SE,2019-05-17,176186.0,154274.0,15646.0,54248.0
SE,2019-05-18,160475.0,154362.0,16097.0,29070.0
SE,2019-05-19,153925.0,153979.0,14713.0,15678.0
SE,2019-05-20,189119.0,153655.0,15033.0,15503.0
SE,2019-05-21,191935.0,153265.0,13473.0,18604.0
SE,2019-05-22,180221.0,149242.0,11690.0,24974.0
SE,2019-05-23,185606.0,150434.0,12705.0,41951.0
SE,2019-05-24,195623.0,153222.0,15477.0,33441.0
SE,2019-05-25,164205.0,164500.0,15559.0,29503.0
SE,2019-05-26,133076.0,174874.0,15507.0,58899.0
