Country,Timestamp,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
DE,2019-01-01,460245.0,486275.0,44285.0,274392.0,248629.0,46878.0,1700.0,65673.0,134128.0,8178.0,685435.0,35797.0,10272.0,40365.0,73493.0,219642.0,3018775.0
DE,2019-01-02,461598.0,879273.0,40188.0,434268.0,529753.0,47200.0,1829.0,76133.0,128572.0,6983.0,787953.0,42491.0,10272.0,124469.0,67216.0,304313.0,2453934.0
DE,2019-01-03,465115.0,1351565.0,40624.0,791755.0,1156304.0,45783.0,2144.0,134194.0,128510.0,6364.0,910301.0,45454.0,10272.0,90115.0,69695.0,255783.0,922787.0
DE,2019-01-04,467552.0,1431101.0,42955.0,671680.0,797197.0,47671.0,1950.0,79231.0,128884.0,8670.0,887604.0,50200.0,10272.0,38324.0,65288.0,352546.0,1772581.0
DE,2019-01-05,464363.0,1251640.0,45819.0,525834.0,523942.0,48096.0,1731.0,63426.0,127117.0,8397.0,876527.0,49986.0,10272.0,27223.0,63827.0,355448.0,2092408.0
DE,2019-01-06,463116.0,1465302.0,45827.0,623955.0,822979.0,48113.0,1660.0,86659.0,127248.0,9956.0,902146.0,50744.0,10272.0,47374.0,66668.0,258431.0,758052.0
DE,2019-01-07,463569.0,1408997.0,48370.0,765070.0,1049850.0,47797.0,1859.0,157802.0,135624.0,10754.0,893189.0,50494.0,10272.0,41718.0,58262.0,282620.0,1484520.0
DE,2019-01-08,459142.0,855876.0,44065.0,504924.0,418811.0,47221.0,2050.0,79094.0,142774.0,7425.0,864689.0,42764.0,10272.0,53980.0,69125.0,353771.0,3502472.0
DE,2019-01-09,460895.0,1088482.0,30491.0,626608.0,725096.0,47312.0,1932.0,90640.0,140337.0,7117.0,888209.0,46871.0,10272.0,52008.0,66562.0,433140.0,2680020.0
DE,2019-01-10,468244.0,1369334.0,31704.0,983623.0,1423745.0,57116.0,2135.0,178501.0,142569.0,23162.0,910336.0,53593.0,14109.0,43908.0,67597.0,94020.0,640333.0
